measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1748.5625,544.629,1223.5469,3780.5469,3919.7438,118465
microtubule,2,3,1481.6094,250.7697,961.5469,1931.5469,3354.4391,101380
microtubule,3,3,1419,167.9292,1104.5469,1822.5469,3221.8564,97373
microtubule,1,1,477.8281,73.0732,327.0469,636.0469,1236.2256,37362
microtubule,2,1,503.8906,64.3742,391.0469,683.0469,1291.416,39030
microtubule,3,1,583.5625,52.9549,442.0469,704.0469,1460.1306,44129
microtubule,1,2,401.4219,72.2734,290.0625,585.0625,1082.8638,32727
microtubule,2,2,476.5781,51.8686,348.0625,574.0625,1242.016,37537
microtubule,3,2,418.0625,64.8405,248.0625,620.0625,1118.1023,33792
cytoplasm,1,3,71.25,23.8212,26.5469,119.5469,367.8368,11117
cytoplasm,2,3,133.6406,31.4091,73.5469,209.5469,499.9564,15110
cytoplasm,3,3,102.9531,53.9982,18.5469,226.5469,434.972,13146
cytoplasm,1,1,850.4219,238.0696,454.0469,1309.0469,2025.2368,61208
cytoplasm,2,1,718.0469,246.3606,206.0469,1179.0469,1744.9172,52736
cytoplasm,3,1,924.2188,229.7836,389.0469,1271.0469,2181.5104,65931
cytoplasm,1,2,609.4375,197.6617,251.0625,1145.0625,1523.3614,46040
cytoplasm,2,2,616.4219,137.4004,273.0625,917.0625,1538.1516,46487
cytoplasm,3,2,650.875,122.6757,391.0625,951.0625,1611.1102,48692
