measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1804.0156,385.4725,1160.3906,2560.3906,4037.5033,122024
microtubule,2,3,1284.2344,333.84,716.3906,2120.3906,2936.8052,88758
microtubule,3,3,1088.6406,333.4073,541.3906,1691.3906,2522.6123,76240
microtubule,1,1,861.0781,91.3499,682.1562,1051.1562,2053.9239,62075
microtubule,2,1,749.1094,117.0544,405.1562,935.1562,1816.8169,54909
microtubule,3,1,638.2812,125.8759,370.1562,861.1562,1582.1253,47816
microtubule,1,2,789.4062,111.9806,617.0781,1050.0781,1887.4924,57045
microtubule,2,2,577.3125,141.8072,308.0781,882.0781,1438.3589,43471
microtubule,3,2,632.7344,175.8901,310.0781,1042.0781,1555.7212,47018
cytoplasm,1,3,69.5781,30.9223,17.3906,135.3906,364.6273,11020
cytoplasm,2,3,83.3594,18.2939,50.3906,118.3906,393.8108,11902
cytoplasm,3,3,82.8125,23.5074,37.3906,161.3906,392.6527,11867
cytoplasm,1,1,180.0156,38.1026,112.1562,281.1562,611.6938,18487
cytoplasm,2,1,416.9219,45.7872,308.1562,566.1562,1113.3707,33649
cytoplasm,3,1,129.5781,29.0445,85.1562,224.1562,504.8864,15259
cytoplasm,1,2,100.3906,18.1911,65.0781,143.0781,428.4206,12948
cytoplasm,2,2,221.7656,34.5483,157.0781,318.0781,685.4464,20716
cytoplasm,3,2,79.2969,20.8117,40.0781,126.0781,383.7521,11598
