measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.1289,4537.9175,894.9634,2933.8568,6081.5721,29.5534,39.8585,0.5448,2.0429,485.2051,235435.954
microtubule,2,3,1.8518,4738.0766,437.6413,3725.0018,5722.5755,4.9029,52.615,0.3632,1.8159,441.8796,214413.144
microtubule,3,3,1.6354,6062.0748,1672.2197,4222.8904,9854.076,23.6518,61.2404,1.2711,1.0441,490.2331,237875.701
microtubule,1,2,2.1289,253.3875,42.072,166.1388,340.8804,29.5534,39.8585,0.5448,2.0429,51.8594,25163.7393
microtubule,2,2,1.8518,139.2363,33.9652,65.2889,199.1176,4.9029,52.615,0.3632,1.8159,35.4964,17223.9192
microtubule,3,2,1.6354,2367.3009,899.7759,1274.143,3848.7768,23.6518,61.2404,1.2711,1.0441,201.1662,97611.844
background,1,3,2.1289,1909.01,385.9722,1340.6684,3203.5823,29.281,39.9947,0.5448,2.0429,225.1478,109248.396
background,2,3,1.8518,1233.328,233.6924,770.9498,1596.4591,5.1299,52.7512,0.3632,1.8159,138.5193,67213.7032
background,3,3,1.6354,1871.9757,323.2357,1264.5944,2426.4957,23.1524,61.1496,1.2711,1.0441,170.7274,82842.0338
background,1,2,2.1289,239.1937,32.6592,161.9095,312.2541,29.281,39.9947,0.5448,2.0429,50.4553,24482.4352
background,2,2,1.8518,136.0367,33.9114,59.0835,195.6278,5.1299,52.7512,0.3632,1.8159,35.2195,17089.5349
background,3,2,1.6354,3260.9531,1466.4223,1471.2993,5283.143,23.1524,61.1496,1.2711,1.0441,269.3095,130676.975
