measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.2812,6540.9528,2101.8372,2437.9584,9830.3976,43.8988,49.528,1.1803,1.9521,741.2577,359680.318
microtubule,2,3,2.4819,8467.2594,1671.0283,5091.8209,11355.9591,53.9315,38.2242,1.5889,1.9067,1036.2436,502816.258
microtubule,3,3,2.8712,4307.7852,1738.984,1635.4315,7321.3976,35.8182,10.7137,2.3606,1.6343,635.6593,308440.806
microtubule,1,2,2.2812,454.32,167.3812,178.2816,740.736,43.8988,49.528,1.1803,1.9521,71.5137,34700.564
microtubule,2,2,2.4819,478.1101,88.8994,324.6854,650.8705,53.9315,38.2242,1.5889,1.9067,81.2704,39434.8248
microtubule,3,2,2.8712,223.872,70.8825,83.8941,370.9168,35.8182,10.7137,2.3606,1.6343,59.3474,28797.1339
background,1,3,2.2812,2920.1574,1028.215,1499.9512,5306.8976,44.2166,49.5734,1.1803,1.9521,360.6946,175019.749
background,2,3,2.4819,1737.7858,515.1481,1136.5438,2834.6976,54.2493,38.315,1.5889,1.9067,259.6002,125965.74
background,3,3,2.8712,1439.8388,528.1648,838.5314,3110.7309,36.1359,10.8499,2.3606,1.6343,257.3878,124892.24
background,1,2,2.2812,283.7955,100.1511,134.6896,434.2432,44.2166,49.5734,1.1803,1.9521,53.5907,26003.8152
background,2,2,2.4819,134.4677,29.2966,77.7259,190.0837,54.2493,38.315,1.5889,1.9067,41.6109,20190.8521
background,3,2,2.8712,127.9261,39.2163,34.0279,213.9576,36.1359,10.8499,2.3606,1.6343,46.6925,22656.5963
