measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.8915,4550.5862,1231.5578,1800.8023,7093.1832,62.7839,54.6579,2.6784,1.0895,654.3007,317486.197
microtubule,2,3,2.8887,6069.9813,1614.4444,3897.316,8882.5113,55.6566,60.3325,1.4527,2.4968,857.8345,416246.875
microtubule,3,3,2.624,3254.4514,981.8961,1890.5626,5801.735,12.2118,31.0969,1.3165,2.2698,436.3043,211707.826
microtubule,1,2,2.8915,363.3823,70.9878,195.4662,527.7084,62.7839,54.6579,2.6784,1.0895,77.5667,37637.6738
microtubule,2,2,2.8887,418.0913,111.1933,254.5912,636.1224,55.6566,60.3325,1.4527,2.4968,84.8954,41193.7578
microtubule,3,2,2.624,157.4712,38.4638,78.3412,244.0826,12.2118,31.0969,1.3165,2.2698,45.3696,22014.6724
background,1,3,2.8915,566.3546,65.911,447.9586,727.1148,62.9655,55.1118,2.6784,1.0895,120.5844,58511.1387
background,2,3,2.8887,522.9854,66.2913,419.8707,666.2457,56.1106,60.6503,1.4527,2.4968,114.7748,55692.1406
background,3,3,2.624,911.0055,148.7738,592.1832,1121.9763,12.6657,30.9153,1.3165,2.2698,151.3603,73444.5167
background,1,2,2.8915,116.0417,29.9892,35.8099,199.1849,62.9655,55.1118,2.6784,1.0895,44.4337,21560.5332
background,2,2,2.8887,104.4818,24.6892,56.7787,161.8412,56.1106,60.6503,1.4527,2.4968,42.8851,20809.1406
background,3,2,2.624,62.4759,28.8082,16.7205,128.5481,12.6657,30.9153,1.3165,2.2698,33.8189,16409.9483
