measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.4931,1297.6782,197.4104,909.3882,1640.5188,15.7981,43.581,1.3619,2.0883,188.8741,91647.3256
microtubule,2,3,2.2411,3151.0756,895.6094,1567.1188,5459.425,19.1575,27.1927,0.2724,2.2244,359.619,174497.838
microtubule,3,3,2.3192,1273.026,607.0863,573.1188,3154.1776,10.2597,16.6607,0.1362,2.3152,172.7412,83819.1768
microtubule,1,2,2.4931,138.963,28.1109,76.2916,200.6123,15.7981,43.581,1.3619,2.0883,42.9059,20819.2447
microtubule,2,2,2.2411,111.501,34.7056,48.4969,170.6398,19.1575,27.1927,0.2724,2.2244,35.4791,17215.5101
microtubule,3,2,2.3192,72.7428,34.8964,14.132,142.1908,10.2597,16.6607,0.1362,2.3152,32.7447,15888.7059
background,1,3,2.4931,95.8691,36.6558,1.4692,198.4444,15.2534,43.8988,1.3619,2.0883,50.1742,24346.0182
background,2,3,2.2411,77.1264,36.6364,22.0066,186.1188,17.16,25.7854,0.2724,2.2244,42.8671,20800.3776
background,3,3,2.3192,-5.6815,31.6016,-67.3812,60.7217,10.8499,16.7061,0.1362,2.3152,35.7076,17326.3824
background,1,2,2.4931,152.7192,32.9051,71.7842,258.8784,15.2534,43.8988,1.3619,2.0883,44.4935,21589.5884
background,2,2,2.2411,91.551,27.3923,37.0887,149.6092,17.16,25.7854,0.2724,2.2244,33.4234,16218.0102
background,3,2,2.3192,97.4153,24.3697,46.8379,152.9702,10.8499,16.7061,0.1362,2.3152,35.3888,17171.6765
