measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.6003,7631.2983,906.4038,5319.2368,9448.603,52.2064,46.5772,1.8613,1.8159,943.1069,457623.566
microtubule,2,3,2.9508,2763.8456,847.9861,1830.2368,5314.501,41.175,61.3766,1.4981,2.5422,411.1293,199492.178
microtubule,3,3,2.7003,1843.4384,549.8306,871.5574,3384.3996,29.4626,54.7941,1.2257,2.406,259.943,126132.098
microtubule,1,2,2.6003,1384.8242,100.4733,1214.7984,1577.2761,52.2064,46.5772,1.8613,1.8159,200.9514,97507.6155
microtubule,2,2,2.9508,675.1651,203.6082,387.0932,1256.4984,41.175,61.3766,1.4981,2.5422,132.1424,64119.4406
microtubule,3,2,2.7003,577.7507,158.3115,362.2467,886.6584,29.4626,54.7941,1.2257,2.406,108.0839,52445.5389
background,1,3,2.6003,441.0599,54.6487,336.3141,595.078,52.8874,46.8496,1.8613,1.8159,83.6505,40589.7384
background,2,3,2.9508,173.589,32.0073,112.9883,240.6046,41.7652,61.5582,1.4981,2.5422,58.8077,28535.2448
background,3,3,2.7003,222.5033,169.9781,99.7471,784.7076,29.0994,54.5671,1.2257,2.406,59.5099,28875.9872
background,1,2,2.6003,354.0633,101.31,218.5805,566.3499,52.8874,46.8496,1.8613,1.8159,77.7435,37723.485
background,2,2,2.9508,304.1089,110.2322,129.9158,534.7586,41.7652,61.5582,1.4981,2.5422,81.6721,39629.7318
background,3,2,2.7003,247.8838,106.3891,110.8677,499.742,29.0994,54.5671,1.2257,2.406,67.295,32653.5247
