measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.9308,1383.9361,439.686,681.0515,2430.9305,59.4699,35.455,0.8171,2.8146,233.054,113084.748
microtubule,2,3,2.6811,1407.7171,356.7028,756.3943,2102.8252,56.5645,35.1826,2.3606,1.2711,214.8079,104231.176
microtubule,3,3,2.0474,1912.4018,801.729,884.5308,3391.5975,54.2493,33.6845,2.0429,0.1362,212.5304,103126.066
microtubule,1,2,2.9308,287.618,68.4807,175.4305,455.2132,59.4699,35.455,0.8171,2.8146,70.5124,34214.7189
microtubule,2,2,2.6811,399.0388,32.0049,346.4982,498.1575,56.5645,35.1826,2.3606,1.2711,77.8797,37789.5376
microtubule,3,2,2.0474,477.4712,58.3571,354.2132,614.6132,54.2493,33.6845,2.0429,0.1362,67.1432,32579.8667
background,1,3,2.9308,124.0737,33.9708,51.1265,219.1216,59.8785,35.5004,0.8171,2.8146,61.69,29933.8289
background,2,3,2.6811,147.0387,36.203,82.4127,239.4848,56.2922,34.8648,2.3606,1.2711,58.9215,28590.4767
background,3,3,2.0474,225.3754,66.0934,144.2308,377.2808,54.3855,34.1839,2.0429,0.1362,52.5995,25522.85
background,1,2,2.9308,293.3819,70.3044,144.5701,456.1735,59.8785,35.5004,0.8171,2.8146,71.2964,34595.1331
background,2,2,2.6811,410.0877,38.1696,331.7435,501.2695,56.2922,34.8648,2.3606,1.2711,79.2459,38452.4672
background,3,2,2.0474,442.4621,25.5314,382.9632,491.0632,54.3855,34.1839,2.0429,0.1362,63.8243,30969.45
