measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.3135,5112.6048,1279.7578,3501.8519,8234.8583,68.2316,40.7664,0.6356,2.2244,580.4776,281665.029
microtubule,2,3,2.2539,2502.9616,980.2808,949.7832,4468.9266,69.775,33.0489,1.8613,1.2711,295.0284,143156.592
microtubule,3,3,1.7629,3176.021,1039.9242,1446.3397,4746.5936,54.2493,61.3312,1.7251,0.3632,286.8786,139202.057
microtubule,1,2,2.3135,46.4254,22.2943,7.1798,86.6546,68.2316,40.7664,0.6356,2.2244,30.9892,15036.872
microtubule,2,2,2.2539,61.1697,26.241,9.01,133.4548,69.775,33.0489,1.8613,1.2711,31.9429,15499.6617
microtubule,3,2,1.7629,27.2323,27.9752,-19.2297,86.4014,54.2493,61.3312,1.7251,0.3632,22.2556,10799.1
background,1,3,2.3135,113.2684,44.6646,13.4696,226.83,69.2757,41.8559,0.6356,2.2244,44.7201,21699.5378
background,2,3,2.2539,251.7392,100.5527,95.96,655.9696,69.5935,32.822,1.8613,1.2711,58.4141,28344.2471
background,3,3,1.7629,171.3477,65.2629,50.8762,301.9992,54.8849,60.8773,1.7251,0.3632,39.1879,19015.1242
background,1,2,2.3135,5.1911,22.7227,-39.3684,55.7567,69.2757,41.8559,0.6356,2.2244,26.5703,12892.6891
background,2,2,2.2539,75.5305,43.205,-5.2452,180.6652,69.5935,32.822,1.8613,1.2711,33.4523,16232.06
background,3,2,1.7629,24.8133,31.4377,-39.3974,106.0569,54.8849,60.8773,1.7251,0.3632,22.0562,10702.3405
