measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.3832,1877.9098,622.3187,949.1753,3447.554,45.3515,11.9848,0.7264,2.2698,239.1368,116036.323
microtubule,2,3,1.5759,4182.2094,282.3451,3284.5452,4583.6922,37.8156,14.981,1.1803,1.0441,333.3924,161771.909
microtubule,3,3,2.4333,2988.6267,1030.0883,755.8847,4466.5452,50.2544,22.6077,2.406,0.3632,374.0588,181504.482
microtubule,1,2,2.3832,2540.6538,172.076,2199.7354,2900.1702,45.3515,11.9848,0.7264,2.2698,307.9296,149416.634
microtubule,2,2,1.5759,5064.8155,832.8133,4001.6351,6622.0736,37.8156,14.981,1.1803,1.0441,396.4315,192360.367
microtubule,3,2,2.4333,3385.0164,289.3735,2666.472,4035.0081,50.2544,22.6077,2.406,0.3632,415.2567,201494.943
background,1,3,2.3832,213.8676,42.3495,63.5452,306.0452,44.7614,12.2118,0.7264,2.2698,57.3792,27842.0888
background,2,3,1.5759,1005.8625,278.9173,678.926,1612.404,37.3617,15.0264,1.1803,1.0441,97.7339,47423.4212
background,3,3,2.4333,710.7569,249.3084,335.4348,1336.2818,50.2544,22.9708,2.406,0.3632,115.866,56221.646
background,1,2,2.3832,2798.7946,285.5541,2447.6969,3465.827,44.7614,12.2118,0.7264,2.2698,336.1255,163098.098
background,2,2,1.5759,4605.3677,304.9121,4041.472,5268.8192,37.3617,15.0264,1.1803,1.0441,362.3443,175820.244
background,3,2,2.4333,3652.7018,409.2644,2601.472,4225.9969,50.2544,22.9708,2.406,0.3632,445.5984,216217.641
