measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.7272,3041.9073,372.4669,1826.5516,3637.1517,44.8521,18.8851,2.7238,0.1362,415.0254,201382.7
microtubule,2,3,1.7065,2881.3156,376.3205,2185.877,3430.9242,51.7979,19.9292,0.8171,1.4981,252.4367,122489.795
microtubule,3,3,2.1833,3866.1485,845.8025,2721.3016,5765.1766,36.4991,27.1474,2.1791,0.1362,416.6155,202154.25
microtubule,1,2,2.7272,15604.7312,850.0411,12971.2304,16102.2304,44.8521,18.8851,2.7238,0.1362,1997.024,969015.549
microtubule,2,2,1.7065,16102.2304,0,16102.2304,16102.2304,51.7979,19.9292,0.8171,1.4981,1316.772,638937
microtubule,3,2,2.1833,9857.3299,1061.6401,8137.4179,11511.9804,36.4991,27.1474,2.1791,0.1362,1023.7765,496766.875
background,1,3,2.7272,706.1041,232.6231,450.6516,1382.2016,44.8067,19.3391,2.7238,0.1362,121.3831,58898.7001
background,2,3,1.7065,695.0352,175.4246,492.9754,1115.6153,51.3893,19.8838,0.8171,1.4981,76.7159,37224.8615
background,3,3,2.1833,383.6613,116.4139,244.1766,750.3016,36.7715,26.648,2.1791,0.1362,64.9432,31512.375
background,1,2,2.7272,15883.9271,448.0712,14375.33,16102.2304,44.8067,19.3391,2.7238,0.1362,2032.1228,986046.499
background,2,2,1.7065,16102.2304,0,16102.2304,16102.2304,51.3893,19.8838,0.8171,1.4981,1316.772,638937
background,3,2,2.1833,9616.8835,711.8025,8226.2304,10795.3554,36.7715,26.648,2.1791,0.1362,999.4955,484985
