measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.3369,1277.6321,638.811,262.141,2353.1629,49.9366,19.8838,1.1349,2.0429,168.8901,81950.4846
microtubule,2,3,2.0474,1463.4757,370.9847,796.7945,2286.7945,51.7979,19.2029,0.1362,2.0429,167.0208,81043.4672
microtubule,3,3,1.9526,1497.1908,572.5448,707.1263,3082.5682,54.5217,18.4765,0.0454,1.9521,162.8163,79003.3022
microtubule,1,2,2.3369,395.6409,158.4398,175.5999,730.9644,49.9366,19.8838,1.1349,2.0429,64.3497,31224.3842
microtubule,2,2,2.0474,367.2879,119.2479,140.172,683.172,51.7979,19.2029,0.1362,2.0429,54.2368,26317.3331
microtubule,3,2,1.9526,255.6466,108.5313,99.3115,557.8929,54.5217,18.4765,0.0454,1.9521,41.7552,20260.8837
background,1,3,2.3369,323.1984,113.3587,197.8247,633.6854,50.3452,20.02,1.1349,2.0429,66.6075,32319.9366
background,2,3,2.0474,328.2876,117.4079,170.7779,678.9112,51.4801,19.2483,0.1362,2.0429,59.4045,28824.8167
background,3,3,1.9526,328.0913,132.4688,166.3472,718.9694,54.1131,18.4765,0.0454,1.9521,56.8039,27562.9243
background,1,2,2.3369,243.8776,39.7364,124.685,309.0053,50.3452,20.02,1.1349,2.0429,48.0859,23332.6924
background,2,2,2.0474,236.1198,32.126,170.172,316.1053,51.4801,19.2483,0.1362,2.0429,41.8021,20283.6
background,3,2,1.9526,181.1024,24.4098,138.3464,236.1778,54.1131,18.4765,0.0454,1.9521,34.9957,16980.9361
