 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,8.312,1860.800,84.247,1623,2139,15467.369,2701882
2,4.397,3549.018,243.212,3023,4251,15603.410,2725646
3,4.397,2945.152,184.908,2434,3359,12948.488,2261877
4,4.397,3189.671,206.732,2738,3867,14023.522,2449667
5,516.216,2979.718,354.501,1877,4469,1538177.613,268693047
6,8.312,481.979,44.659,311,623,4006.309,699833
7,4.397,2376.604,266.676,1763,3134,10448.841,1825232
8,4.397,1648.306,90.159,1346,1961,7246.847,1265899
9,4.397,1664.359,146.828,1337,2056,7317.427,1278228
10,516.216,1715.450,394.121,727,3498,885542.447,154688962
