file,type,time,measure
FL_GTSE1-mCherry_Dark_Mito_001-01.tif,spindle green,0,2261.3715
FL_GTSE1-mCherry_Dark_Mito_001-01.tif,cyto green,0,986.0108
FL_GTSE1-mCherry_Dark_Mito_001-01.tif,mito green,0,1145.4575
FL_GTSE1-mCherry_Dark_Mito_001-01.tif,cell green,0,1160.4527
FL_GTSE1-mCherry_Dark_Mito_001-01.tif,spindle red,0,2141.2329
FL_GTSE1-mCherry_Dark_Mito_001-01.tif,cyto red,0,1238.5454
FL_GTSE1-mCherry_Dark_Mito_001-01.tif,mito red,0,1647.6262
FL_GTSE1-mCherry_Dark_Mito_001-01.tif,cell red,0,1500.5075
FL_GTSE1-mCherry_Dark_Mito_001-26.tif,spindle green,1,1450.099
FL_GTSE1-mCherry_Dark_Mito_001-26.tif,cyto green,1,513.4623
FL_GTSE1-mCherry_Dark_Mito_001-26.tif,mito green,1,1667.53
FL_GTSE1-mCherry_Dark_Mito_001-26.tif,cell green,1,1009.8082
FL_GTSE1-mCherry_Dark_Mito_001-26.tif,spindle red,1,1450.1297
FL_GTSE1-mCherry_Dark_Mito_001-26.tif,cyto red,1,876.1037
FL_GTSE1-mCherry_Dark_Mito_001-26.tif,mito red,1,1291.5972
FL_GTSE1-mCherry_Dark_Mito_001-26.tif,cell red,1,1122.5669
