file,type,time,measure
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-01.tif,spindle green,0,3974.8819
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-01.tif,cyto green,0,1854.7035
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-01.tif,mito green,0,1942.4574
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-01.tif,cell green,0,2220.4062
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-01.tif,spindle red,0,3233.2101
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-01.tif,cyto red,0,1664.9145
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-01.tif,mito red,0,1833.5656
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-01.tif,cell red,0,1937.3648
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-15.tif,spindle green,1,1061.2857
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-15.tif,cyto green,1,730.9797
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-15.tif,mito green,1,1023.9263
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-15.tif,cell green,1,855.1517
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-15.tif,spindle red,1,1785.1369
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-15.tif,cyto red,1,1173.0978
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-15.tif,mito red,1,1220.3778
HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 - HeLa_CRISPR_chTOG-FKBP-GFP_darkmito_TDtOMATOGTSE1_009.nd2 (series 2)-15.tif,cell red,1,1213.6737
