Original_Name	Blinded_Name
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_PI3KC2A_tubulin_control_series_60.tiff	blind_0013
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_PI3KC2A_tubulin_rapamycin_series_66.tiff	blind_0022
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control 2_series_25.tiff	blind_0021
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control 3_series_26.tiff	blind_0048
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control 4_series_27.tiff	blind_0050
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control 5_series_28.tiff	blind_0056
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control 6_series_29.tiff	blind_0049
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_control_series_24.tiff	blind_0064
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 2_series_31.tiff	blind_0029
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 3_series_32.tiff	blind_0057
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 4_series_33.tiff	blind_0060
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 5_series_34.tiff	blind_0061
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin 6_series_35.tiff	blind_0005
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_TACC3_tubulin_rapamycin_series_30.tiff	blind_0026
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_control 2_series_37.tiff	blind_0063
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_control 3_series_38.tiff	blind_0051
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_control 4_series_39.tiff	blind_0007
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_control 5_series_40.tiff	blind_0067
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_control 6_series_41.tiff	blind_0018
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_control_series_36.tiff	blind_0010
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_rapamycin 2_series_43.tiff	blind_0039
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_rapamycin 3_series_44.tiff	blind_0030
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_rapamycin 4_series_45.tiff	blind_0016
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_rapamycin 5_series_46.tiff	blind_0033
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_rapamycin 6_series_47.tiff	blind_0025
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_chTOG_tubulin_rapamycin_series_42.tiff	blind_0066
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_control 2_series_1.tiff	blind_0004
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_control 3_series_2.tiff	blind_0001
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_control 4_series_3.tiff	blind_0023
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_control 5_series_4.tiff	blind_0003
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_control 6_series_5.tiff	blind_0017
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_control 7_series_6.tiff	blind_0009
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_control_series_0.tiff	blind_0058
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_rapamycin 2_series_8.tiff	blind_0043
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_rapamycin 3_series_9.tiff	blind_0012
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_rapamycin 4_series_10.tiff	blind_0046
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_rapamycin 5_series_11.tiff	blind_0044
20200117_CRISPR_GTSE1-FKBP-GFP_IF_1st_ultra.mvd2 - HeLa_CRISPR_GTSE1-FKBP-GFP_DAPI_GFPboost_tubulin_tubulin_rapamycin_series_7.tiff	blind_0002
