measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.4333,1412.8389,408.1469,781.5558,2315.4585,51.2531,36.8623,1.4527,1.9521,188.0392,91242.2325
microtubule,2,3,1.8524,1990.1677,265.8651,1335.8892,2498.1289,54.9303,33.1397,1.0895,1.4981,193.5654,93923.6981
microtubule,3,3,2.2974,1338.613,592.4226,414.9476,2686.2151,43.9896,45.7601,1.4073,1.8159,169.8281,82405.6393
microtubule,1,2,2.4333,64.1426,26.8466,2.8202,143.6981,51.2531,36.8623,1.4527,1.9521,31.0835,15082.6406
microtubule,2,2,1.8524,75.3656,23.2431,18.0544,121.1966,54.9303,33.1397,1.0895,1.4981,24.7079,11989.0184
microtubule,3,2,2.2974,83.6543,32.593,8.9751,154.7675,43.9896,45.7601,1.4073,1.8159,31.479,15274.5582
background,1,3,2.4333,126.5728,91.3403,36.1114,456.4928,51.7979,37.1801,1.4527,1.9521,42.2431,20497.5974
background,2,3,1.8524,89.6252,26.6779,41.0635,169.5231,55.7474,33.5483,1.0895,1.4981,29.0603,14100.9138
background,3,3,2.2974,120.6445,35.8231,60.4624,215.8892,43.6264,45.6239,1.4073,1.8159,39.3036,19071.2743
background,1,2,2.4333,66.3387,34.2268,-3.6222,144.373,51.7979,37.1801,1.4527,1.9521,31.3324,15203.4239
background,2,2,1.8524,13.1565,24.1175,-33.5325,73.7046,55.7474,33.5483,1.0895,1.4981,19.3233,9376.2374
background,3,2,2.2974,42.5888,26.3811,-14.6458,92.6641,43.6264,45.6239,1.4073,1.8159,27.0782,13139.1544
