measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.5459,2693.8237,1204.4171,832.0248,4692.6854,55.7928,55.8382,0.1362,2.5422,350.1548,169905.537
microtubule,2,3,2.5824,2369.1452,1196.9153,829.0248,4452.2128,58.2896,48.0753,0.454,2.5422,317.4887,154054.984
microtubule,3,3,2.6134,1469.7731,470.1782,752.3601,2436.4113,32.368,12.0756,0.7717,2.4968,213.6063,103648.148
microtubule,1,2,2.5459,93.8992,28.7965,48.4089,163.7661,55.7928,55.8382,0.1362,2.5422,35.6489,17297.9285
microtubule,2,2,2.5824,94.8459,23.0636,20.8355,136.481,58.2896,48.0753,0.454,2.5422,36.3875,17656.3051
microtubule,3,2,2.6134,111.9526,27.8627,38.8061,184.5992,32.368,12.0756,0.7717,2.4968,39.0949,18970.022
background,1,3,2.5459,147.9418,38.3505,58.0248,248.1677,56.4284,55.8836,0.1362,2.5422,51.0897,24790.2679
background,2,3,2.5824,301.0845,125.3436,84.4791,527.661,58.562,48.0753,0.454,2.5422,70.2914,34107.4617
background,3,3,2.6134,102.2852,30.7437,19.9781,162.5248,31.8686,12.1664,0.7717,2.4968,47.3309,22966.3615
background,1,2,2.5459,75.1101,29.4695,17.2839,164.3018,56.4284,55.8836,0.1362,2.5422,33.4418,16226.9465
background,2,2,2.5824,107.3115,19.9145,72.5958,172.9005,58.562,48.0753,0.454,2.5422,37.8775,18379.3155
background,3,2,2.6134,36.0332,34.8806,-28.4293,124.4268,31.8686,12.1664,0.7717,2.4968,29.8637,14490.7797
