measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.3957,2341.7411,764.5972,1188.1058,4274.92,42.2645,17.841,2.1337,1.0895,294.4468,142874.34
microtubule,2,3,2.0609,3583.7562,767.4109,2446.3866,5280.9869,63.8734,25.6946,2.0429,0.2724,368.5686,178840.466
microtubule,3,3,3.406,3405.309,672.4467,2125.5279,4753.4132,29.962,46.7588,3.1778,1.2257,580.9898,281913.566
microtubule,1,2,2.3957,1288.7333,345.194,667.125,1763.8612,42.2645,17.841,2.1337,1.0895,168.475,81749.0928
microtubule,2,2,2.0609,1207.6047,247.039,752.1279,1645.1946,63.8734,25.6946,2.0429,0.2724,135.8247,65906.2
microtubule,3,2,3.406,1527.8476,187.3862,1231.4772,1882.6717,29.962,46.7588,3.1778,1.2257,274.5647,133226.963
background,1,3,2.3957,434.6724,91.6237,287.7628,650.5402,43.3087,17.841,2.1337,1.0895,82.2139,39892.6291
background,2,3,2.0609,501.5272,129.9966,335.42,828.4867,63.8734,25.3315,2.0429,0.2724,76.3719,37057.9333
background,3,3,3.406,1009.9263,361.6307,609.752,2148.492,29.962,46.4864,3.1778,1.2257,205.8086,99864.4775
background,1,2,2.3957,547.6077,157.6083,329.6116,872.3612,43.3087,17.841,2.1337,1.0895,85.997,41728.3106
background,2,2,2.0609,241.796,41.7476,153.3612,350.5945,63.8734,25.3315,2.0429,0.2724,44.2656,21478.9999
background,3,2,3.406,573.431,152.7433,394.8612,909.3612,29.962,46.4864,3.1778,1.2257,125.0775,60691.308
