measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,3.3298,5312.268,1649.9518,657.2109,8308.8398,36.6807,33.6845,1.4527,2.9962,1001.967,486184.225
microtubule,2,3,3.1583,5038.1178,1624.2443,2159.9489,9164.7138,37.4978,47.576,0.9987,2.9962,921.2324,447009.393
microtubule,3,3,2.0961,4465.8441,1014.3645,2646.3452,6627.8837,22.88,51.2985,0.6356,1.9975,554.3987,269010.76
microtubule,1,2,3.3298,15468.413,384.6186,13147.1719,15562.1719,36.6807,33.6845,1.4527,2.9962,2484.1918,1205403.84
microtubule,2,2,3.1583,13216.0546,1805.0745,8793.3555,15562.1719,37.4978,47.576,0.9987,2.9962,2053.9107,996618.667
microtubule,3,2,2.0961,11925.4741,2704.0381,7341.7901,15562.1719,22.88,51.2985,0.6356,1.9975,1234.6237,599076.203
background,1,3,3.3298,1136.4099,521.1742,569.2625,2654.9125,36.0451,34.2747,1.4527,2.9962,365.1275,177170.725
background,2,3,3.1583,53.5006,453.3447,-370.3973,1862.2109,37.0893,47.8937,0.9987,2.9962,191.8711,93101.5707
background,3,3,2.0961,-231.3086,668.6246,-598.1161,2615.2109,22.1991,50.9353,0.6356,1.9975,99.4263,48244.586
background,1,2,3.3298,15562.1719,0,15562.1719,15562.1719,36.0451,34.2747,1.4527,2.9962,2498.4905,1212342
background,2,2,3.1583,4503.0774,1255.145,2664.7557,7715.1719,37.0893,47.8937,0.9987,2.9962,779.0068,377997.288
background,3,2,2.0961,2218.2861,844.3934,1449.3345,5814.1719,22.1991,50.9353,0.6356,1.9975,294.3726,142838.364
