measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.3611,13942.1821,2002.1846,10080.5532,16083.0708,20.928,30.7337,1.4527,1.8613,1555.6174,754831.897
microtubule,2,3,1.9897,10244.7822,1104.2323,6628.0708,11574.7427,26.3302,26.9204,1.7705,0.9079,977.912,474512.013
microtubule,3,3,2.0429,8790.5517,2306.6828,5680.1909,12912.0708,69.8204,1.1349,1.2257,1.6343,861.7816,418162.12
microtubule,1,2,2.3611,7398.5989,1083.9687,6136.6747,9078.497,20.928,30.7337,1.4527,1.8613,811.3373,393685.003
microtubule,2,2,1.9897,6084.9047,608.3559,5013.8549,7313.9477,26.3302,26.9204,1.7705,0.9079,567.0398,275144.611
microtubule,3,2,2.0429,3834.9896,1281.8116,1925.58,5615.58,69.8204,1.1349,1.2257,1.6343,366.3477,177762.841
background,1,3,2.3611,1844.8899,389.956,1330.2025,2889.9702,21.3365,30.8699,1.4527,1.8613,234.2713,113675.41
background,2,3,1.9897,1289.8313,140.2267,1133.389,1656.5708,26.0124,27.6921,1.7705,0.9079,147.4337,71539.2213
background,3,3,2.0429,644.1056,63.5282,488.0708,788.5708,70.6376,0.8625,1.2257,1.6343,89.4949,43425.5998
background,1,2,2.3611,3308.6116,225.4532,2853.1569,3656.1969,21.3365,30.8699,1.4527,1.8613,364.6018,176915.673
background,2,2,1.9897,4161.9341,182.9462,3820.7536,4557.1274,26.0124,27.6921,1.7705,0.9079,388.7044,188610.936
background,3,2,2.0429,1141.0583,498.74,497.66,2220.08,70.6376,0.8625,1.2257,1.6343,110.9619,53841.9999
