measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.2332,3126.5216,698.3959,1849.2452,4521.7264,46.5318,52.161,0.9987,1.9975,352.3658,170978.361
microtubule,2,3,2.8586,1500.7547,477.3595,806.1993,2512.9544,33.5483,50.8445,0.4994,2.8146,236.5956,114803.217
microtubule,3,3,2.3241,1494.2274,705.4671,283.7141,2532.1753,53.6137,39.3591,2.2698,0.4994,191.5344,92938.1944
microtubule,1,2,2.2332,2688.5594,366.4497,2101.8122,3262.8991,46.5318,52.161,0.9987,1.9975,301.3665,146231.989
microtubule,2,2,2.8586,1650.2942,331.2984,1149.9196,2410.9196,33.5483,50.8445,0.4994,2.8146,248.8058,120727.973
microtubule,3,2,2.3241,1351.793,366.1413,901.3036,2323.9196,53.6137,39.3591,2.2698,0.4994,170.1656,82569.4171
background,1,3,2.2332,183.6559,29.637,124.8369,250.9544,47.2128,52.4334,0.9987,1.9975,49.1212,23835.0746
background,2,3,2.8586,205.2681,54.8339,120.8818,344.6879,33.0943,50.7083,0.4994,2.8146,65.7257,31892.0796
background,3,3,2.3241,107.2612,60.9043,-25.8345,266.9544,54.0677,40.4032,2.2698,0.4994,42.8992,20815.9532
background,1,2,2.2332,558.9966,223.572,241.5589,1097.7972,47.2128,52.4334,0.9987,1.9975,81.9279,39753.8517
background,2,2,2.8586,1338.7149,179.6216,1010.1383,1670.7569,33.0943,50.7083,0.4994,2.8146,207.7096,100786.897
background,3,2,2.3241,816.3925,405.9732,145.4794,1614.8728,54.0677,40.4032,2.2698,0.4994,112.789,54728.5924
