measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.4819,2927.782,768.3503,1283.3648,4648.4805,45.9417,12.9835,1.9067,1.5889,368.7807,178943.364
microtubule,2,3,2.4129,5504.9935,1537.6464,2505.4146,8013.3648,42.6277,12.2118,0.4994,2.3606,642.4213,311721.951
microtubule,3,3,2.5243,3356.3373,1033.1905,2170.3648,6047.6402,38.8598,12.4388,1.9975,1.5435,425.7085,206566.433
microtubule,1,2,2.4819,1005.0688,110.9694,761.8732,1284.7079,45.9417,12.9835,1.9067,1.5889,149.7545,72665.354
microtubule,2,2,2.4129,969.2889,364.4455,412.4732,1627.0759,42.6277,12.2118,0.4994,2.3606,140.4243,68138.0472
microtubule,3,2,2.5243,505.3598,97.799,284.3916,678.2844,38.8598,12.4388,1.9975,1.5435,93.7278,45479.5357
background,1,3,2.4819,325.8842,67.4708,238.9144,475.2565,45.5331,12.7565,1.9067,1.5889,68.4976,33237.0852
background,2,3,2.4129,1363.1084,454.9298,784.8032,2532.1663,42.4461,12.121,0.4994,2.3606,181.4813,88060.1565
background,3,3,2.5243,471.8949,105.3434,317.4898,928.3648,38.9505,11.9848,1.9975,1.5435,86.8727,42153.2144
background,1,2,2.4819,486.2698,108.8323,347.5484,748.274,45.5331,12.7565,1.9067,1.5889,89.8803,43612.6107
background,2,2,2.4129,921.5897,360.7805,275.9732,1767.2371,42.4461,12.121,0.4994,2.3606,135.116,65562.2924
background,3,2,2.5243,412.0321,132.0117,92.014,588.8916,38.9505,11.9848,1.9975,1.5435,82.7646,40159.8597
