measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.7208,852.4642,242.6328,325.554,1180.1141,1.9067,33.4121,2.4514,1.1803,142.2965,69046.5232
microtubule,2,3,2.9336,2291.2816,567.2604,1096.354,3527.354,5.8562,20.8826,2.7238,1.0895,349.6653,169668.021
microtubule,3,3,2.9741,854.2138,319.9849,234.0021,1492.2206,0.1816,32.3226,1.5435,2.5422,156.5345,75955.2054
microtubule,1,2,2.7208,213.309,34.1246,131.1656,316.9223,1.9067,33.4121,2.4514,1.1803,54.452,26421.7465
microtubule,2,2,2.9336,469.8716,127.9262,180.1656,713.9987,5.8562,20.8826,2.7238,1.0895,93.8125,45520.5963
microtubule,3,2,2.9741,148.2614,48.5532,48.0848,258.3887,0.1816,32.3226,1.5435,2.5422,50.8263,24662.4186
background,1,3,2.7208,358.8054,77.1151,257.5407,627.7007,2.0429,33.1851,2.4514,1.1803,80.2369,38933.3333
background,2,3,2.9336,199.7394,36.9431,108.3363,329.5694,5.5838,20.3378,2.7238,1.0895,65.1779,31626.2392
background,3,3,2.9741,160.1898,69.5611,13.7946,353.554,0.681,32.2318,1.5435,2.5422,60.7044,29455.597
background,1,2,2.7208,145.0129,37.934,65.2989,252.8889,2.0429,33.1851,2.4514,1.1803,45.8663,22255.6867
background,2,2,2.9336,61.0334,24.3714,6.8839,124.1656,5.5838,20.3378,2.7238,1.0895,38.2031,18537.277
background,3,2,2.9741,71.5686,27.5612,-10.0429,156.1656,0.681,32.2318,1.5435,2.5422,40.2366,19524.0038
