measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.7423,2417.3941,571.7186,1532.0545,4557.0212,61.0588,33.1397,0.3178,2.7238,340.3537,165149.749
microtubule,2,3,2.3255,3973.1578,901.7749,2622.9189,5763.8151,67.6868,25.2407,1.4527,1.8159,456.8621,221683.104
microtubule,3,3,1.9642,1901.6715,504.604,1110.2533,2909.6425,69.775,20.8372,1.0895,1.6343,198.736,96432.6122
microtubule,1,2,2.7423,513.5791,160.768,257.7296,1163.7296,61.0588,33.1397,0.3178,2.7238,95.9006,46533.8168
microtubule,2,2,2.3255,1088.0839,347.3016,500.3109,1795.7296,67.6868,25.2407,1.4527,1.8159,143.3185,69542.4261
microtubule,3,2,1.9642,1049.0291,219.911,757.3786,1496.3028,69.775,20.8372,1.0895,1.6343,117.7281,57125.1764
background,1,3,2.7423,297.0668,59.7941,214.9545,497.6712,60.6503,33.0036,0.3178,2.7238,73.7996,35809.7834
background,2,3,2.3255,459.0976,63.7951,319.2484,604.0212,67.3236,24.9229,1.4527,1.8159,80.2753,38951.9729
background,3,3,1.9642,91.8697,54.911,-12.2157,185.6637,69.9112,19.8838,1.0895,1.6343,34.6255,16801.3338
background,1,2,2.7423,187.2952,38.3533,84.5963,305.2296,60.6503,33.0036,0.3178,2.7238,54.8822,26630.5001
background,2,2,2.3255,262.4305,43.0429,187.4405,376.2525,67.3236,24.9229,1.4527,1.8159,54.8368,26608.4485
background,3,2,1.9642,109.7726,46.3954,19.3656,194.3489,69.9112,19.8838,1.0895,1.6343,32.5575,15797.8909
