 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,718.041,101.411,433,936,1632.872,121349.000
2,2.274,1319.118,117.059,1007,1522,2999.760,222931.000
3,2.274,809.811,131.358,568,1103,1841.562,136858.000
4,2.274,624.036,77.727,433,828,1419.097,105462.000
5,2.274,1379.030,147.104,1013,1742,3136.002,233056.000
6,2.274,875.391,95.726,610,1088,1990.694,147941.000
7,2.274,666.580,91.980,463,848,1515.846,112652.000
8,2.274,1155.757,91.842,937,1359,2628.267,195323.000
9,2.274,1012.207,96.589,781,1255,2301.824,171063.000
10,2.274,248.503,27.400,175,318,565.112,41997.000
11,2.274,626.071,53.923,479,775,1423.726,105806.000
12,2.274,1350.101,154.635,1025,1767,3070.216,228167.000
13,2.274,250.201,28.914,176,322,568.974,42284.000
14,2.274,576.331,59.101,449,841,1310.615,97400.000
15,2.274,1096.864,83.501,914,1309,2494.339,185370.000
16,2.274,191.254,24.156,132,251,434.925,32322.000
17,2.274,742.420,87.220,573,1120,1688.311,125469.000
18,2.274,544.822,81.525,358,725,1238.961,92075.000
19,2.274,109.414,15.984,55,163,248.815,18491.000
20,2.274,119.130,15.522,82,162,270.910,20133.000
21,2.274,144.385,18.828,97,192,328.340,24401.000
