 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,4.076,793.920,60.490,587,1037,3236.351,1570374
2,1.583,3278.743,210.889,2692,3909,5189.449,2518075
3,1.583,2134.867,234.533,1583,2773,3378.972,1639578
4,1.583,3845.323,805.198,1982,6502,6086.205,2953208
5,152.658,2937.015,766.374,1254,6536,448357.500,217556415
6,4.076,342.723,39.378,208,481,1397.084,677907
7,1.583,2394.811,126.096,2045,2730,3790.400,1839215
8,1.583,1573.674,201.817,985,2069,2490.742,1208582
9,1.583,2276.988,295.975,1625,3134,3603.915,1748727
10,152.658,1995.180,441.314,673,3711,304579.333,147790965
