 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,3596.775,561.456,1854,4095,8179.298,607855.000
2,2.274,3117.799,299.199,2423,3958,7090.075,526908.000
3,2.274,590.101,72.233,430,888,1341.927,99727.000
4,2.274,2610.929,359.310,1494,3282,5937.421,441247.000
5,2.274,3323.373,288.750,2803,4085,7557.564,561650.000
6,2.274,533.734,95.040,362,832,1213.745,90201.000
7,2.274,3027.343,489.067,1770,4021,6884.373,511621.000
8,2.274,3042.686,264.700,2601,3749,6919.265,514214.000
9,2.274,613.243,106.180,412,954,1394.553,103638.000
10,2.274,667.503,84.400,502,911,1517.945,112808.000
11,2.274,2245.882,190.426,1898,2836,5107.279,379554.000
12,2.274,846.710,127.015,551,1201,1925.473,143094.000
13,2.274,558.456,71.837,417,724,1269.964,94379.000
14,2.274,2024.834,232.372,1615,2905,4604.604,342197.000
15,2.274,650.266,135.350,417,1018,1478.747,109895.000
16,2.274,331.112,31.993,267,409,752.971,55958.000
17,2.274,2146.722,140.787,1797,2594,4881.784,362796.000
18,2.274,538.166,93.456,366,880,1223.823,90950.000
19,2.274,118.053,18.333,70,161,268.461,19951.000
20,2.274,127.828,17.328,79,174,290.690,21603.000
21,2.274,119.657,17.441,66,159,272.107,20222.000
