 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,2003.462,270.018,1369,2601,4556.000,338585.000
2,2.274,2349.846,180.486,1913,2822,5343.701,397124.000
3,2.274,496.006,57.982,352,658,1127.949,83825.000
4,2.274,1392.905,183.787,876,1791,3167.556,235401.000
5,2.274,1959.657,331.934,1254,2673,4456.386,331182.000
6,2.274,388.207,57.997,290,629,882.808,65607.000
7,2.274,2049.479,246.721,1451,2572,4660.648,346362.000
8,2.274,2809.521,239.845,2353,3345,6389.031,474809.000
9,2.274,513.746,55.392,399,720,1168.290,86823.000
10,2.274,425.882,44.913,321,564,968.482,71974.000
11,2.274,1584.639,200.693,1129,2174,3603.571,267804.000
12,2.274,335.568,40.532,244,467,763.103,56711.000
13,2.274,271.822,31.162,197,354,618.142,45938.000
14,2.274,1673.817,158.154,1263,2029,3806.367,282875.000
15,2.274,339.337,35.797,257,433,771.675,57348.000
16,2.274,453.917,94.855,276,864,1032.237,76712.000
17,2.274,1950.260,275.625,1352,2475,4435.018,329594.000
18,2.274,479.385,69.137,320,668,1090.151,81016.000
19,2.274,118.976,19.245,83,187,270.560,20107.000
20,2.274,116.882,16.062,43,152,265.796,19753.000
21,2.274,116.095,15.953,70,147,264.007,19620.000
