 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,543.544,55.161,398,670,1236.055,91859.000
2,2.274,2676.680,83.729,2460,2870,6086.944,452359.000
3,2.274,657.408,121.712,445,919,1494.989,111102.000
4,2.274,512.414,52.280,408,645,1165.263,86598.000
5,2.274,2111.870,177.319,1762,2652,4802.528,356906.000
6,2.274,576.095,166.068,264,919,1310.076,97360.000
7,2.274,663.041,88.785,461,864,1507.799,112054.000
8,2.274,2485.562,128.623,2142,2756,5652.328,420060.000
9,2.274,427.024,78.109,301,677,971.079,72167.000
10,2.274,166.391,18.142,132,218,378.383,28120.000
11,2.274,1139.142,127.690,836,1449,2590.482,192515.000
12,2.274,385.278,122.623,233,682,876.147,65112.000
13,2.274,172.195,20.614,126,221,391.583,29101.000
14,2.274,1663.148,200.554,1273,2247,3782.105,281072.000
15,2.274,579.107,118.800,362,908,1316.925,97869.000
16,2.274,154.592,17.062,111,200,351.552,26126.000
17,2.274,1300.864,150.025,1047,1816,2958.248,219846.000
18,2.274,388.189,152.329,182,899,882.768,65604.000
19,2.274,112.503,12.684,76,144,255.839,19013.000
20,2.274,120.065,12.215,84,154,273.036,20291.000
21,2.274,123.284,16.568,84,176,280.356,20835.000
