measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,1.9731,2681.6573,402.6591,2050.8642,3589.8989,49.0287,23.1524,1.8159,0.7717,286.1673,138856.893
microtubule,2,3,1.7287,1393.2927,412.3708,756.7828,2870.8188,46.668,25.4223,1.6797,0.4086,150.0969,72831.4833
microtubule,3,3,1.3497,1804.707,324.5959,1328.4188,2565.7744,39.1321,29.054,0.454,1.2711,145.5919,70645.5337
microtubule,1,2,1.9731,312.6267,58.7474,225.7799,453.1331,49.0287,23.1524,1.8159,0.7717,50.4527,24481.1748
microtubule,2,2,1.7287,228.3636,67.4002,130.5751,371.6429,46.668,25.4223,1.6797,0.4086,37.9469,18412.9612
microtubule,3,2,1.3497,435.8629,53.4468,303.2364,589.2364,39.1321,29.054,0.454,1.2711,43.4195,21068.4222
background,1,3,1.9731,307.0821,145.1162,164.656,747.3756,48.8925,23.6064,1.8159,0.7717,70.8439,34375.5834
background,2,3,1.7287,382.6332,177.8367,199.5986,882.7413,46.8042,25.0591,1.6797,0.4086,68.8659,33415.7628
background,3,3,1.3497,708.4324,225.7729,515.2188,1466.8188,39.4953,29.1448,0.454,1.2711,75.5539,36661.0223
background,1,2,1.9731,99.0442,28.1086,45.3557,181.9319,48.8925,23.6064,1.8159,0.7717,31.0854,15083.5434
background,2,2,1.7287,152.8324,55.9012,65.9732,271.9442,46.8042,25.0591,1.6797,0.4086,31.8761,15467.2431
background,3,2,1.3497,488.0493,65.9833,401.2808,660.2364,39.4953,29.1448,0.454,1.2711,46.7535,22686.2001
