measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.0744,11257.4819,1964.2431,5937.8228,13720.4224,54.2947,21.0642,0.8171,1.9067,1132.857,549695.976
microtubule,2,3,2.9011,9012.1781,1544.8122,4898.8228,11548.979,42.4007,13.0743,2.7238,0.9987,1265.9427,614273.096
microtubule,3,3,2.196,13102.5626,1208.1207,10931.3228,15944.8228,41.3112,15.8889,1.0895,1.9067,1367.3857,663496.25
microtubule,1,2,2.0744,5045.2177,668.8677,3192.5452,6086.5413,54.2947,21.0642,0.8171,1.9067,534.9334,259565.61
microtubule,2,2,2.9011,3891.8298,1039.3483,2257.1546,5592.5452,42.4007,13.0743,2.7238,0.9987,585.2969,284003.496
microtubule,3,2,2.196,6751.2416,652.0705,5317.5452,7914.5452,41.3112,15.8889,1.0895,1.9067,729.9761,354206.125
background,1,3,2.0744,624.6246,164.8817,329.8228,967.7397,54.7941,20.928,0.8171,1.9067,102.9444,49951.6859
background,2,3,2.9011,779.1375,154.6315,560.2134,1205.8228,42.2191,12.3934,2.7238,0.9987,163.068,79125.4531
background,3,3,2.196,2582.7501,1296.8272,1287.0728,6073.5728,41.1296,16.4791,1.0895,1.9067,305.0626,148025.438
background,1,2,2.0744,856.2413,394.5465,411.0329,1818.7078,54.7941,20.928,0.8171,1.9067,129.1836,62683.7185
background,2,2,2.9011,1410.5113,656.7484,494.5452,2957.2991,42.2191,12.3934,2.7238,0.9987,252.9066,122717.795
background,3,2,2.196,2184.7824,422.7231,1588.5452,3508.5452,41.1296,16.4791,1.0895,1.9067,268.8409,130449.625
