measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.4972,2679.5505,509.096,1405.5736,3475.3903,42.1737,15.5711,2.2244,1.1349,344.4939,167158.705
microtubule,2,3,2.4968,1783.9486,239.4198,1196.5736,2286.5736,45.9871,51.3439,2.4968,0,241.1332,117005
microtubule,3,3,2.624,2380.754,568.1154,1076.3387,3310.5677,52.0703,50.3906,2.0883,1.5889,326.6177,158484.642
microtubule,1,2,2.4972,645.6543,167.485,358.0926,1023.4612,42.1737,15.5711,2.2244,1.1349,108.7839,52785.2115
microtubule,2,2,2.4968,393.6862,69.8532,233.0612,545.0612,45.9871,51.3439,2.4968,0,79.7045,38675
microtubule,3,2,2.624,653.638,180.3828,287.3822,1114.236,52.0703,50.3906,2.0883,1.5889,115.5824,56084.0314
background,1,3,2.4972,212.8798,45.2416,97.1348,328.1947,40.7664,16.1159,2.2244,1.1349,59.8173,29025.1458
background,2,3,2.4968,355.1718,54.886,248.0736,536.5736,46.1233,51.0715,2.4968,0,76.2391,36993.5
background,3,3,2.624,401.3597,58.2769,286.9345,543.8816,51.7979,50.5722,2.0883,1.5889,85.9394,41700.3788
background,1,2,2.4972,301.7955,59.1422,190.6306,429.303,40.7664,16.1159,2.2244,1.1349,69.0995,33529.1214
background,2,2,2.4968,205.2398,45.5237,108.5612,314.0612,46.1233,51.0715,2.4968,0,57.956,28122
background,3,2,2.624,236.8722,36.5556,167.236,327.4655,51.7979,50.5722,2.0883,1.5889,64.9071,31494.8466
