measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,1.2662,1886.1384,393.3949,1326.8656,2720.1156,22.3807,18.4311,0.3178,1.2257,129.1546,62669.6608
microtubule,2,3,1.6895,2219.2585,358.0712,1726.9264,3050.4398,17.4778,21.8359,1.6797,0.1816,195.3248,94777.432
microtubule,3,3,1.2223,2198.3305,595.5351,1561.5601,3668.1156,36.1359,16.4337,0.6356,1.0441,142.7159,69250.0166
microtubule,1,2,1.2662,30.9157,23.4713,-14.2118,72.94,22.3807,18.4311,0.3178,1.2257,13.4458,6524.2946
microtubule,2,2,1.6895,61.6512,21.9853,17.5076,118.6427,17.4778,21.8359,1.6797,0.1816,20.0256,9717.027
microtubule,3,2,1.2223,121.1635,26.8837,51.94,165.2487,36.1359,16.4337,0.6356,1.0441,18.1899,8826.2592
background,1,3,1.2662,490.5602,94.3357,361.4281,771.1156,22.5623,18.7489,0.3178,1.2257,45.7472,22197.8926
background,2,3,1.6895,452.9872,104.0322,275.6832,645.4805,17.5686,22.2899,1.6797,0.1816,57.0021,27659.1216
background,3,3,1.2223,698.278,105.5906,520.1437,947.1156,36.4083,16.4791,0.6356,1.0441,56.156,27248.5474
background,1,2,1.2662,33.7657,21.2936,2.3686,98.94,22.5623,18.7489,0.3178,1.2257,13.6161,6606.9464
background,2,2,1.6895,59.5207,23.5271,17.6832,106.94,17.5686,22.2899,1.6797,0.1816,19.8588,9636.0676
background,3,2,1.2223,120.4121,17.0692,89.4647,171.44,36.4083,16.4791,0.6356,1.0441,18.1465,8805.2174
