measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.7086,7606.3669,1262.5629,5657.9625,10588.8468,19.4299,12.8927,0.6356,2.633,990.186,480467.726
microtubule,2,3,2.4269,4416.0061,474.8422,3460.7902,5253.4694,27.6467,41.175,0.3178,2.406,521.5109,253052.605
microtubule,3,3,2.3767,3712.7299,805.6257,2248.4303,5292.151,19.5661,35.7728,2.0883,1.1349,435.0368,211092.803
microtubule,1,2,2.7086,2752.4239,566.4181,1580.5288,4002.1289,19.4299,12.8927,0.6356,2.633,375.6191,182261.6
microtubule,2,2,2.4269,1587.2203,144.0626,1336.3213,1959.8872,27.6467,41.175,0.3178,2.406,202.8427,98425.3396
microtubule,3,2,2.3767,776.1369,157.7323,451.5436,1046.8542,19.5661,35.7728,2.0883,1.1349,110.4945,53615.2285
background,1,3,2.7086,523.342,77.3563,401.2868,789.8468,18.8851,13.3013,0.6356,2.633,99.7532,48403.2057
background,2,3,2.4269,425.9358,39.812,352.2383,537.3468,27.1474,41.5836,0.3178,2.406,77.466,37588.8065
background,3,3,2.3767,587.1283,197.5188,440.8468,1543.8468,19.5207,36.1359,2.0883,1.1349,93.6379,45435.9178
background,1,2,2.7086,291.4736,78.8986,195.5288,512.5965,18.8851,13.3013,0.6356,2.633,66.2442,32143.6355
background,2,2,2.4269,297.1751,48.0444,221.3543,417.5288,27.1474,41.5836,0.3178,2.406,59.2769,28762.9011
background,3,2,2.3767,188.3826,55.7171,95.7891,372.5288,19.5207,36.1359,2.0883,1.1349,46.2961,22464.2508
