measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.2526,2695.9505,253.7247,2291.5206,3262.0905,39.7677,53.2506,2.2244,0.227,310.8996,150857.761
microtubule,2,3,2.3968,1685.259,365.4855,1048.1852,2710.6478,63.0109,39.7677,1.6797,1.6797,216.7105,105154.407
microtubule,3,3,1.4653,1808.3352,548.3832,1180.5593,3295.2885,36.8169,56.156,1.1349,0.9079,140.8045,68322.5416
microtubule,1,2,2.2526,306.4977,52.9052,195.8881,416.5604,39.7677,53.2506,2.2244,0.227,57.8651,28077.8906
microtubule,2,2,2.3968,154.9124,28.3415,81.8911,212.8843,63.0109,39.7677,1.6797,1.6797,44.3994,21543.9265
microtubule,3,2,1.4653,197.1057,44.1527,141.1713,332.3622,36.8169,56.156,1.1349,0.9079,30.0025,14558.1129
background,1,3,2.2526,279.9275,65.5915,170.6485,499.8533,40.1763,53.7499,2.2244,0.227,56.9639,27640.5898
background,2,3,2.3968,88.4329,44.0478,18.3502,235.5568,62.5115,39.4045,1.6797,1.6797,39.0038,18925.7941
background,3,3,1.4653,349.2341,179.4593,154.9604,805.1774,37.3617,56.0652,1.1349,0.9079,41.5725,20172.2048
background,1,2,2.2526,173.0787,28.0637,111.4486,241.1739,40.1763,53.7499,2.2244,0.227,43.8422,21273.5228
background,2,2,2.3968,107.2353,30.1241,40.5252,162.3849,62.5115,39.4045,1.6797,1.6797,39.0936,18969.3617
background,3,2,1.4653,148.1922,28.7137,70.4004,212.8935,37.3617,56.0652,1.1349,0.9079,26.6759,12943.9654
