measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,1.5967,2023.3707,640.0027,951.0744,3194.9054,26.9658,47.4398,0.4086,1.5435,174.4674,84656.7742
microtubule,2,3,1.4255,2154.8067,428.5152,1610.2775,3631.7936,28.6908,39.3591,0.227,1.4073,163.7501,79456.4192
microtubule,3,3,1.5528,3809.5786,730.9698,2300.7936,5116.4044,27.2835,46.3502,0.4086,1.4981,298.4616,144822.477
microtubule,1,2,1.5967,1200.6786,224.7948,781.674,1635.047,26.9658,47.4398,0.4086,1.5435,108.3202,52560.1653
microtubule,2,2,1.4255,1534.4946,132.9535,1266.674,1841.8676,28.6908,39.3591,0.227,1.4073,118.2991,57402.2584
microtubule,3,2,1.5528,1854.6789,323.1973,1431.674,2500.1091,27.2835,46.3502,0.4086,1.4981,152.4848,73990.1714
background,1,3,1.5967,465.9873,187.917,289.7695,1125.2936,27.2835,47.6214,0.4086,1.5435,58.9225,28590.9721
background,2,3,1.4255,361.4088,65.8938,280.3259,525.0194,28.1461,39.1321,0.227,1.4073,45.4788,22067.6857
background,3,3,1.5528,999.3414,202.0667,732.9892,1399.5999,27.6467,46.2141,0.4086,1.4981,95.7571,46464.1741
background,1,2,1.5967,736.7281,193.0272,411.174,1037.2687,27.2835,47.6214,0.4086,1.5435,73.8989,35857.9478
background,2,2,1.4255,800.5999,54.0316,712.3917,894.174,28.1461,39.1321,0.227,1.4073,69.9001,33917.6288
background,3,2,1.5528,989.7755,64.9566,878.2155,1156.2311,27.6467,46.2141,0.4086,1.4981,90.0987,43718.5521
