measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.5361,1035.2164,263.2818,531.9643,1456.8342,47.0312,39.2683,1.7705,1.8159,145.4582,70580.6582
microtubule,2,3,1.9995,1409.1148,366.9842,674.0047,2058.6865,49.2556,32.8674,0.09079,1.9975,149.5106,72547.0002
microtubule,3,3,1.9526,2360.3456,655.5271,1482.9408,3684.0154,42.2191,39.5407,1.5889,1.1349,232.4445,112789.002
microtubule,1,2,2.5361,15.2956,13.5058,-10.3976,44.1432,47.0312,39.2683,1.7705,1.8159,22.1586,10752.0229
microtubule,2,2,1.9995,25.8232,21.0461,-11.8819,77.1181,49.2556,32.8674,0.09079,1.9975,18.47,8962.1819
microtubule,3,2,1.9526,31.0148,17.4112,-8.4137,63.404,42.2191,39.5407,1.5889,1.1349,18.5303,8991.4532
background,1,3,2.5361,205.2374,40.4788,118.25,327.9592,46.3502,39.0413,1.7705,1.8159,47.9605,23271.8571
background,2,3,1.9995,337.1067,50.5064,230.9592,437.2319,48.7109,32.822,0.09079,1.9975,50.093,24306.6361
background,3,3,1.9526,503.3755,62.644,366.2085,634.8063,42.2191,38.9052,1.5889,1.1349,64.0569,31082.3192
background,1,2,2.5361,15.8627,17.606,-18.6935,57.6075,46.3502,39.0413,1.7705,1.8159,22.2252,10784.3495
background,2,2,1.9995,29.7293,24.6262,-20.3364,106.5727,48.7109,32.822,0.09079,1.9975,18.8322,9137.9545
background,3,2,1.9526,31.3583,18.8273,-11.404,71.2581,42.2191,38.9052,1.5889,1.1349,18.5614,9006.565
