Original_Name	Blinded_Name
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_096.tif	blind_0093
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_098.tif	blind_0116
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_100.tif	blind_0041
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_101.tif	blind_0009
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_102.tif	blind_0118
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_104.tif	blind_0063
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_105.tif	blind_0069
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_106.tif	blind_0072
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_107.tif	blind_0067
GTSE1(450-720)-FKBP-GFP_Tubulin_staining_108.tif	blind_0101
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_109.tif	blind_0033
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_110.tif	blind_0095
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_111.tif	blind_0059
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_112.tif	blind_0052
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_113.tif	blind_0082
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_115.tif	blind_0097
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_116.tif	blind_0055
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_117.tif	blind_0104
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_118.tif	blind_0099
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_119.tif	blind_0075
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_120.tif	blind_0037
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_121.tif	blind_0100
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_122.tif	blind_0027
GTSE1(500-720)-FKBP-GFP_Tubulin_staining_124.tif	blind_0081
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_125.tif	blind_0057
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_126.tif	blind_0020
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_127.tif	blind_0079
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_128.tif	blind_0114
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_130.tif	blind_0010
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_131.tif	blind_0124
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_132.tif	blind_0068
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_134.tif	blind_0003
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_136.tif	blind_0031
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_138.tif	blind_0106
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_139.tif	blind_0121
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_140.tif	blind_0088
GTSE1(550-720)-FKBP-GFP_Tubulin_staining_141.tif	blind_0105
N-GTSE1-FKBP-GFP_Tubulin_staining_012.tif	blind_0019
N-GTSE1-FKBP-GFP_Tubulin_staining_013.tif	blind_0051
N-GTSE1-FKBP-GFP_Tubulin_staining_016.tif	blind_0029
N-GTSE1-FKBP-GFP_Tubulin_staining_018.tif	blind_0092
N-GTSE1-FKBP-GFP_Tubulin_staining_019.tif	blind_0066
N-GTSE1-FKBP-GFP_Tubulin_staining_021.tif	blind_0025
N-GTSE1-FKBP-GFP_Tubulin_staining_022.tif	blind_0001
N-GTSE1-FKBP-GFP_Tubulin_staining_023.tif	blind_0049
N-GTSE1-FKBP-GFP_control_Tubulin_staining_162.tif	blind_0054
N-GTSE1-FKBP-GFP_control_Tubulin_staining_163.tif	blind_0126
N-GTSE1-FKBP-GFP_control_Tubulin_staining_164.tif	blind_0034
N-GTSE1-FKBP-GFP_control_Tubulin_staining_165.tif	blind_0028
