 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,418.189,72.375,247,635,950.989,70674.000
2,2.274,375.396,46.212,249,502,853.676,63442.000
3,2.274,803.260,133.666,566,1140,1826.666,135751.000
4,2.274,425.130,90.830,254,619,966.773,71847.000
5,2.274,397.657,36.885,306,499,904.297,67204.000
6,2.274,870.917,154.162,577,1171,1980.522,147185.000
7,2.274,330.231,57.164,209,466,750.966,55809.000
8,2.274,349.953,35.914,270,467,795.815,59142.000
9,2.274,627.911,102.767,362,886,1427.911,106117.000
10,2.274,146.142,24.047,105,214,332.336,24698.000
11,2.274,277.704,32.245,203,379,631.517,46932.000
12,2.274,295.467,30.468,228,389,671.912,49934.000
13,2.274,149.716,24.220,90,212,340.464,25302.000
14,2.274,275.970,27.342,214,352,627.574,46639.000
15,2.274,356.083,61.356,233,500,809.755,60178.000
16,2.274,143.556,18.051,94,197,326.456,24261.000
17,2.274,337.071,48.770,240,518,766.521,56965.000
18,2.274,378.781,36.024,299,470,861.373,64014.000
19,2.274,129.095,20.728,56,211,293.570,21817.000
20,2.274,163.491,24.209,98,229,371.789,27630.000
21,2.274,199.361,26.564,127,256,453.360,33692.000
