measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,1.5889,5344.6489,646.7909,4006.26,7047.26,22.5623,18.4311,0,1.5889,422.3277,204926
microtubule,2,3,1.9778,1993.3991,561.4083,963.6918,3100.1567,19.5661,27.8283,0.3178,1.9521,217.1162,105351.262
microtubule,3,3,1.83,2184.2088,515.7025,1114.26,3059.51,26.3302,35.682,0.7264,1.6797,213.9397,103809.9
microtubule,1,2,1.5889,1946.0909,160.7096,1559.5076,2327.5076,22.5623,18.4311,0,1.5889,165.2681,80193
microtubule,2,2,1.9778,810.3275,73.3455,675.144,1003.5076,19.5661,27.8283,0.3178,1.9521,101.2549,49131.8937
microtubule,3,2,1.83,392.9669,69.4947,291.6276,563.5076,26.3302,35.682,0.7264,1.6797,56.9891,27652.83
background,1,3,1.5889,2202.5933,689.382,1457.26,3954.76,22.8346,18.4311,0,1.5889,189.2134,91812
background,2,3,1.9778,808.2794,228.228,422.7827,1233.3524,19.9292,27.8737,0.3178,1.9521,107.2087,52020.8737
background,3,3,1.83,293.482,166.5619,148.3,785.4401,25.8308,35.8182,0.7264,1.6797,54.1807,26290.1
background,1,2,1.5889,2174.9937,233.703,1760.5076,2701.5076,22.8346,18.4311,0,1.5889,182.2508,88433.5
background,2,2,1.9778,803.6793,80.0082,655.7628,948.0034,19.9292,27.8737,0.3178,1.9521,100.6384,48832.7258
background,3,2,1.83,248.2488,74.3503,119.3226,424.9876,25.8308,35.8182,0.7264,1.6797,44.761,21719.3899
