measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,1.7287,1544.0718,270.1755,998.5687,1909.4233,36.1813,47.7122,0.4086,1.6797,140.9254,68381.2184
microtubule,2,3,1.4527,702.283,219.6972,354.7072,1132.7072,44.5798,51.9795,1.4527,0,61.9954,30082
microtubule,3,3,1.5091,1554.649,252.779,1023.7072,2097.5529,32.1864,41.0842,0.4086,1.4527,123.5992,59974.0221
microtubule,1,2,1.7287,690.6677,57.6354,607.199,848.3847,36.1813,47.7122,0.4086,1.6797,79.2193,38439.541
microtubule,2,2,1.4527,540.6748,72.4637,411.0384,747.0384,44.5798,51.9795,1.4527,0,56.8308,27576
microtubule,3,2,1.5091,512.5485,46.449,431.4048,623.3387,32.1864,41.0842,0.4086,1.4527,56.5821,27455.3443
background,1,3,1.7287,306.5785,62.6239,176.638,470.4572,35.9544,47.8029,0.4086,1.6797,41.4628,20118.9799
background,2,3,1.4527,76.283,38.1732,9.7072,148.7072,44.3982,52.5242,1.4527,0,19.4217,9424
background,3,3,1.5091,191.9724,29.449,116.2072,247.7692,31.8686,41.0388,0.4086,1.4527,28.1166,13643.0165
background,1,2,1.7287,703.606,80.7608,573.8832,921.7309,35.9544,47.8029,0.4086,1.6797,80.2592,38944.1378
background,2,2,1.4527,339.3111,68.381,161.0384,472.0384,44.3982,52.5242,1.4527,0,43.1363,20931
background,3,2,1.5091,411.5445,52.5609,320.7023,532.5921,31.8686,41.0388,0.4086,1.4527,49.5048,24021.2067
