measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.2479,6188.8396,1619.6208,3628.2616,9976.1083,33.5029,9.6695,1.6343,1.5435,687.3055,333501.095
microtubule,2,3,1.9072,3199.0282,862.4747,1520.4596,5096.888,40.8118,46.8496,1.9067,0.0454,314.5423,152625.31
microtubule,3,3,2.397,2199.9885,681.0492,814.6518,3749.8529,19.6569,20.6102,2.1791,0.9987,283.826,137720.851
microtubule,1,2,2.2479,293.708,40.8988,158.2636,384.366,33.5029,9.6695,1.6343,1.5435,60.4277,29321.3055
microtubule,2,2,1.9072,89.9066,31.6962,36.5899,159.4947,40.8118,46.8496,1.9067,0.0454,32.8884,15958.4286
microtubule,3,2,2.397,106.1847,58.5251,6.9762,202.7804,19.6569,20.6102,2.1791,0.9987,43.1132,20919.8298
background,1,3,2.2479,416.025,67.4861,266.8216,537.2312,33.9569,9.261,1.6343,1.5435,80.5547,39087.5535
background,2,3,1.9072,484.3543,297.9318,220.2691,1356.7452,40.9026,47.3036,1.9067,0.0454,73.9739,35894.3331
background,3,3,2.397,341.4356,87.4277,254.3681,615.4504,19.6569,21.155,2.1791,0.9987,76.9924,37358.9932
background,1,2,2.2479,107.8742,36.217,15.6332,191.8268,33.9569,9.261,1.6343,1.5435,40.8956,19843.7856
background,2,2,1.9072,81.5107,34.1212,9.9233,161.3994,40.9026,47.3036,1.9067,0.0454,32.1444,15597.4047
background,3,2,2.397,43.8676,31.5063,-31.9003,129.5326,19.6569,21.155,2.1791,0.9987,36.1781,17554.7075
