measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.0947,1123.7438,275.3433,643.1568,1737.8525,16.933,45.5785,1.8159,1.0441,127.4295,61832.5872
microtubule,2,3,2.7785,1446.0106,552.6799,803.5667,2479.1732,25.4223,35.0464,0.227,2.7692,209.276,101546.935
microtubule,3,3,2.4569,1985.224,323.4765,1147.8482,2587.1197,3.9949,37.2255,1.1349,2.1791,246.767,119738.698
microtubule,1,2,2.0947,894.1903,206.1128,554.8351,1333.2916,16.933,45.5785,1.8159,1.0441,113.2211,54938.2388
microtubule,2,2,2.7785,985.9418,479.8962,454.2588,1693.9145,25.4223,35.0464,0.227,2.7692,161.079,78160.3116
microtubule,3,2,2.4569,140.9471,33.1662,78.197,268.2916,3.9949,37.2255,1.1349,2.1791,47.1139,22861.0514
background,1,3,2.0947,168.7882,30.5146,118.4394,234.3742,16.933,46.1233,1.8159,1.0441,34.9312,16949.6739
background,2,3,2.7785,324.9697,42.9005,235.9519,419.0421,25.0137,34.8648,0.227,2.7692,66.0355,32042.4017
background,3,3,2.4569,154.8736,24.8348,116.0128,237.5395,4.7213,37.1347,1.1349,2.1791,39.2998,19069.426
background,1,2,2.0947,693.2347,224.4642,250.2046,1093.7916,16.933,46.1233,1.8159,1.0441,93.7563,45493.3259
background,2,2,2.7785,827.8968,431.1983,361.0539,1618.2097,25.0137,34.8648,0.227,2.7692,140.8848,68361.5207
background,3,2,2.4569,201.616,28.5915,131.6496,261.3327,4.7213,37.1347,1.1349,2.1791,53.9906,26197.8415
