measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.7242,2293.0682,680.6187,764.2422,3899.0924,28.6001,47.7575,1.0895,2.4968,319.9026,155226.251
microtubule,2,3,2.2794,2812.8003,1194.6759,1435.1316,6135.7516,28.827,32.5496,1.5889,1.6343,322.0859,156285.66
microtubule,3,3,2.2249,2287.623,439.8277,1552.3756,3758.3756,41.9467,20.928,2.2244,0.0454,261.6541,126962.368
microtubule,1,2,2.7242,1073.6925,192.2207,682.7238,1538.6072,28.6001,47.7575,1.0895,2.4968,175.3812,85100.2003
microtubule,2,2,2.2794,596.6439,120.9839,310.8312,870.5633,28.827,32.5496,1.5889,1.6343,96.4901,46819.872
microtubule,3,2,2.2249,1565.3182,154.6616,1273.5868,1971.4439,41.9467,20.928,2.2244,0.0454,194.4142,94335.5505
background,1,3,2.7242,248.3095,105.5474,113.7256,525.5756,29.054,47.8483,1.0895,2.4968,62.8485,30495.9666
background,2,3,2.2794,268.9419,51.1443,181.3036,407.3756,29.3264,32.8674,1.5889,1.6343,54.714,26548.8802
background,3,3,2.2249,361.549,55.9499,276.3042,505.3756,41.9467,21.3819,2.2244,0.0454,63.1838,30658.6683
background,1,2,2.7242,815.3886,108.6834,570.7739,1151.1906,29.054,47.8483,1.0895,2.4968,142.9089,69343.6666
background,2,2,2.2794,455.0507,84.5278,295.1432,587.7192,29.3264,32.8674,1.5889,1.6343,81.608,39598.6198
background,3,2,2.2249,1303.4275,185.3886,1055.3521,1683.7348,41.9467,21.3819,2.2244,0.0454,167.4279,81241.0153
