measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,3.7325,5801.9514,1185.4258,3897.1707,9168.9754,32.822,17.6594,0.2724,3.7225,1044.2075,506680.585
microtubule,2,3,1.6649,4343.3708,767.8869,3146.908,5700.3308,40.2671,10.3051,1.4981,0.7264,363.8445,176548.183
microtubule,3,3,1.9266,4904.5449,1242.4691,2544.1756,6376.366,36.2267,13.4829,1.5889,1.0895,461.4488,223908.691
microtubule,1,2,3.7325,2801.1549,468.4103,1916.2028,3728.3493,32.822,17.6594,0.2724,3.7225,542.9056,263433.975
microtubule,2,2,1.6649,2792.4678,332.4626,2316.6979,3508.5138,40.2671,10.3051,1.4981,0.7264,247.8789,120278.217
microtubule,3,2,1.9266,3115.158,791.7308,2202.5372,4712.6325,36.2267,13.4829,1.5889,1.0895,309.0906,149979.975
background,1,3,3.7325,301.48,46.5516,182.7563,425.7806,31.687,17.614,0.2724,3.7225,103.3355,50141.4634
background,2,3,1.6649,1182.9141,395.2502,831.7382,2657.866,40.3125,10.6683,1.4981,0.7264,116.3383,56450.8282
background,3,3,1.9266,615.9945,43.1752,519.6993,699.5803,35.9997,13.1197,1.5889,1.0895,81.4068,39501.0237
background,1,2,3.7325,395.3703,109.161,233.7394,794.9833,31.687,17.614,0.2724,3.7225,131.389,63753.8536
background,2,2,1.6649,1990.3594,360.5075,1416.0576,2904.7516,40.3125,10.6683,1.4981,0.7264,185.063,89798.0974
background,3,2,1.9266,687.905,59.1337,558.6802,807.2516,35.9997,13.1197,1.5889,1.0895,93.9928,45608.0952
