measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,3.3152,2749.9462,461.5294,1966.7835,3748.9341,54.7033,15.8889,0.09079,3.314,466.0009,226117.521
microtubule,2,3,2.34,2962.6259,476.4622,1838.304,3680.304,51.1169,11.213,2.2244,0.7264,356.9877,173221.059
microtubule,3,3,1.4871,2592.8551,637.7605,1892.0313,3940.3269,46.1233,8.6254,1.2711,0.7717,203.1012,98550.7368
microtubule,1,2,3.3152,363.2786,105.6357,190.7153,562.2769,54.7033,15.8889,0.09079,3.314,107.6626,52241.0823
microtubule,2,2,2.34,328.3433,116.0899,195.7203,677.5725,51.1169,11.213,2.2244,0.7264,73.2938,35564.3416
microtubule,3,2,1.4871,521.5267,44.4024,455.5044,588.0205,46.1233,8.6254,1.2711,0.7717,60.555,29383.0973
background,1,3,3.3152,659.7764,144.0762,396.6259,1111.9889,55.0664,15.8889,0.09079,3.314,147.2394,71444.9586
background,2,3,2.34,435.9483,66.2099,329.3469,603.693,51.4801,10.8499,2.2244,0.7264,81.0073,39307.1464
background,3,3,1.4871,183.3931,25.8722,138.1231,240.8173,46.1233,7.8991,1.2711,0.7717,34.2704,16629.0285
background,1,2,3.3152,99.6544,32.8764,25.3728,178.318,55.0664,15.8889,0.09079,3.314,67.4585,32732.8905
background,2,2,2.34,116.9833,50.1959,19.9127,214.818,51.4801,10.8499,2.2244,0.7264,50.2077,24362.2634
background,3,2,1.4871,150.3875,36.9854,80.2519,209.318,46.1233,7.8991,1.2711,0.7717,34.5493,16764.3632
