measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,1.9668,1427.9324,488.533,645.794,2483.1612,19.7023,28.3731,1.8613,0.6356,147.7281,71682.0914
microtubule,2,3,1.6223,1553.8195,528.1037,399.794,2214.5472,22.1991,25.8762,1.5435,0.4994,133.8251,64935.9446
microtubule,3,3,1.7907,1007.6447,277.2069,633.4876,1712.988,19.8838,31.6416,0.9079,1.5435,99.6518,48354.0287
microtubule,1,2,1.9668,249.4151,30.8089,180.8549,311.9928,19.7023,28.3731,1.8613,0.6356,39.4835,19158.5825
microtubule,2,2,1.6223,228.5134,35.8188,165.0422,328.4743,22.1991,25.8762,1.5435,0.4994,31.6082,15337.2608
microtubule,3,2,1.7907,206.7458,39.6974,131.9928,310.2472,19.8838,31.6416,0.9079,1.5435,32.3767,15710.1217
background,1,3,1.9668,431.3803,99.6952,294.5422,718.443,19.9292,28.1461,1.8613,0.6356,57.3621,27833.7964
background,2,3,1.6223,110.9953,33.5606,47.6212,185.794,21.3819,25.5131,1.5435,0.4994,23.8061,11551.4491
background,3,3,1.7907,118.8831,28.8726,62.794,178.1905,19.3391,31.8232,0.9079,1.5435,26.3866,12803.5635
background,1,2,1.9668,238.9119,37.5621,160.0453,362.2584,19.9292,28.1461,1.8613,0.6356,38.5311,18696.4397
background,2,2,1.6223,61.3534,33.534,-1.0072,124.8678,21.3819,25.5131,1.5435,0.4994,18.8619,9152.3427
background,3,2,1.7907,64.345,29.4851,16.2643,159.9928,19.3391,31.8232,0.9079,1.5435,20.6378,10014.0894
