measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.4009,6656.7302,1153.1644,4108.7324,9805.9092,25.6493,32.0956,2.3152,0.6356,789.1196,382904.335
microtubule,2,3,1.8662,4443.6816,1321.451,2158.4458,6909.958,25.8762,29.508,0.1362,1.8613,422.205,204866.44
microtubule,3,3,1.83,1938.2781,377.7643,1196.1592,2741.9092,24.6505,27.9191,1.5889,0.9079,200.4558,97267.125
microtubule,1,2,2.4009,647.411,48.5982,547.4077,798.5871,25.6493,32.0956,2.3152,0.6356,102.7154,49840.5854
microtubule,2,2,1.8662,482.0655,70.0924,328.4128,616.8275,25.8762,29.508,0.1362,1.8613,65.578,31820.3901
microtubule,3,2,1.83,274.018,52.4946,185.4372,385.6872,24.6505,27.9191,1.5889,0.9079,46.4374,22532.8125
background,1,3,2.4009,3209.1621,586.7905,2013.0718,4248.2368,25.7854,32.5042,2.3152,0.6356,405.4484,196735.656
background,2,3,1.8662,2707.3828,653.2799,1951.3726,5073.6592,26.2394,29.5534,0.1362,1.8613,271.9163,131941.89
background,3,3,1.83,576.9305,195.5436,348.9092,961.9092,23.788,28.6001,1.5889,0.9079,85.4273,41451.875
background,1,2,2.4009,697.9894,52.5168,587.3467,821.973,25.7854,32.5042,2.3152,0.6356,108.3442,52571.8207
background,2,2,1.8662,504.7328,64.2386,358.4372,619.4738,26.2394,29.5534,0.1362,1.8613,67.54,32772.4146
background,3,2,1.83,283.8198,43.901,198.6872,367.9372,23.788,28.6001,1.5889,0.9079,47.2656,22934.6875
