measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.9213,5174.4723,921.6838,3693.9928,7013.0182,62.2846,28.5547,2.4514,1.5889,725.5762,352071.165
microtubule,2,3,2.4214,3217.9793,374.1222,2249.9928,4049.7242,63.3287,26.5118,2.0883,1.2257,385.0532,186839.27
microtubule,3,3,2.4886,952.6324,217.8794,540.1072,1364.4625,49.8912,41.629,2.406,0.6356,137.8724,66899.8171
microtubule,1,2,2.9213,3644.7805,423.8699,3071.6941,4693.3947,62.2846,28.5547,2.4514,1.5889,551.8517,267774.868
microtubule,2,2,2.4214,2481.5762,270.2932,2121.885,3435.5642,63.3287,26.5118,2.0883,1.2257,329.0113,159646.086
microtubule,3,2,2.4886,972.3979,110.9668,750.1672,1231.2234,49.8912,41.629,2.406,0.6356,167.0238,81044.917
background,1,3,2.9213,1752.9667,306.199,1330.525,2475.1549,62.33,29.054,2.4514,1.5889,267.241,129673.302
background,2,3,2.4214,1075.3179,238.4599,778.1685,2172.9928,63.4195,27.0112,2.0883,1.2257,146.6018,71135.5569
background,3,3,2.4886,258.8616,101.7771,131.5479,650.4928,50.2998,41.8106,2.406,0.6356,57.8049,28048.6523
background,1,2,2.9213,3317.9677,111.4549,3032.7395,3532.9768,62.33,29.054,2.4514,1.5889,508.0728,246532.034
background,2,2,2.4214,2497.3173,137.7792,2199.0476,2742.4465,63.4195,27.0112,2.0883,1.2257,330.7631,160496.105
background,3,2,2.4886,990.361,135.3566,764.6672,1267.8614,50.2998,41.8106,2.406,0.6356,169.0969,82050.8549
