measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.6003,4298.0377,790.2678,2617.725,5645.9316,48.2569,43.3994,0.7264,2.4968,544.1722,264048.581
microtubule,2,3,2.2698,4795.3231,764.6085,3562.476,6437.476,35.2734,20.5648,1.3619,1.8159,530.7634,257542.2
microtubule,3,3,2.2798,2971.7529,463.4578,2144.7861,3900.0361,47.4398,19.0213,0.4994,2.2244,339.0973,164540.121
microtubule,1,2,2.6003,3143.4468,537.5035,1886.9694,4402.8632,48.2569,43.3994,0.7264,2.4968,414.7228,201235.848
microtubule,2,2,2.2698,2916.4067,542.6781,1793.8632,3565.5431,35.2734,20.5648,1.3619,1.8159,340.807,165369.72
microtubule,3,2,2.2798,1924.4158,335.0367,1363.9233,2531.7892,47.4398,19.0213,0.4994,2.2244,236.544,114778.182
background,1,3,2.6003,325.5527,51.4407,246.0605,509.7308,48.8017,43.3994,0.7264,2.4968,69.3372,33644.4514
background,2,3,2.2698,1123.1897,237.4307,720.916,1816.676,34.9556,20.6102,1.3619,1.8159,144.8044,70263.3995
background,3,3,2.2798,700.7867,286.7541,369.3876,1516.4656,47.8483,18.5673,0.4994,2.2244,100.4078,48720.8449
background,1,2,2.6003,635.1516,59.5926,519.367,781.0165,48.8017,43.3994,0.7264,2.4968,114.9038,55754.7261
background,2,2,2.2698,919.515,121.9312,664.2632,1065.1831,34.9556,20.6102,1.3619,1.8159,130.924,63528.2401
background,3,2,2.2798,594.1912,166.2336,382.8456,1031.7848,47.8483,18.5673,0.4994,2.2244,96.7309,46936.7288
