file,type,time,measure
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-01.tif,spindle green,0,1654.7557
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-01.tif,cyto green,0,470.606
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-01.tif,mito green,0,689.7792
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-01.tif,cell green,0,703.4739
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-01.tif,spindle red,0,1101.1762
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-01.tif,cyto red,0,619.2283
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-01.tif,mito red,0,1030.1372
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-01.tif,cell red,0,834.5976
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-16.tif,spindle green,1,419.8281
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-16.tif,cyto green,1,180.332
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-16.tif,mito green,1,333.3177
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-16.tif,cell green,1,283.7888
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-16.tif,spindle red,1,742.222
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-16.tif,cyto red,1,484.2377
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-16.tif,mito red,1,1089.8952
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_007.nd2 (series 3)-16.tif,cell red,1,603.2255
