 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,309.367,35.296,222,393,703.520,52283.000
2,2.274,570.355,91.304,323,864,1297.024,96390.000
3,2.274,547.645,71.991,396,761,1245.380,92552.000
4,2.274,301.047,39.597,207,397,684.601,50877.000
5,2.274,629.538,92.620,366,879,1431.611,106392.000
6,2.274,560.627,66.897,419,721,1274.902,94746.000
7,2.274,234.817,28.810,154,302,533.988,39684.000
8,2.274,528.917,73.799,406,755,1202.792,89387.000
9,2.274,552.970,87.202,422,883,1257.490,93452.000
10,2.274,139.822,21.411,77,205,317.965,23630.000
11,2.274,226.970,27.441,154,296,516.145,38358.000
12,2.274,335.130,44.350,228,507,762.108,56637.000
13,2.274,130.574,18.298,85,172,296.934,22067.000
14,2.274,221.509,25.985,163,295,503.725,37435.000
15,2.274,357.195,64.314,214,529,812.285,60366.000
16,2.274,132.089,18.603,81,190,300.378,22323.000
17,2.274,230.651,30.046,165,307,524.515,38980.000
18,2.274,384.207,54.817,255,532,873.712,64931.000
19,2.274,109.320,16.924,57,157,248.600,18475.000
20,2.274,118.822,16.940,72,164,270.210,20081.000
21,2.274,121.941,16.135,80,172,277.301,20608.000
