file,type,time,measure
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-02.tif,spindle green,0,2202.9317
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-02.tif,cyto green,0,775.2989
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-02.tif,mito green,0,1032.5424
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-02.tif,cell green,0,1032.8133
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-02.tif,spindle red,0,2557.1128
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-02.tif,cyto red,0,1244.6102
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-02.tif,mito red,0,1365.0034
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-02.tif,cell red,0,1486.3027
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-16.tif,spindle green,1,635.8616
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-16.tif,cyto green,1,238.5725
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-16.tif,mito green,1,1293.7939
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-16.tif,cell green,1,576.9439
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-16.tif,spindle red,1,1977.2208
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-16.tif,cyto red,1,957.713
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-16.tif,mito red,1,868.9252
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 3)-16.tif,cell red,1,1061.2619
