Search_name,Search_category
_tubulin_tubulin_control,tubulin control
_tubulin_tubulin_rapamycin,tubulin rapamycin
_CHC_tubulin_control,CHC control
_CHC_tubulin_rapamycin,CHC rapamycin
_chTOG_tubulin_control,chTOG control
_chTOG_tubulin_rapamycin,chTOG rapamycin
_TACC3_tubulin_control,TACC3 control
_TACC3_tubulin_rapamycin,TACC3 rapamycin
_GTSE1_tubulin_control,GTSE1 control
_GTSE1_tubulin_rapamycin,GTSE1 rapamycin
KC2A_tubulin_control,PI3KC2A control
KC2A_tubulin_rapamycin,PI3KC2A rapamycin
