measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,2781,419.3985,1996.9531,3565.9531,6111.5446,184707
microtubule,2,3,1615.2656,413.1419,442.9531,2213.9531,3642.9646,110100
microtubule,3,3,1772.1719,492.8609,646.9531,2666.9531,3975.2321,120142
microtubule,1,1,726.0781,93.1852,516.9844,900.9844,1764.1742,53318
microtubule,2,1,430.0469,82.8172,210.9844,582.9844,1137.2932,34372
microtubule,3,1,509.5156,106.7565,252.9844,696.9844,1305.5776,39458
microtubule,1,2,2730.5469,491.0793,1828.2969,3867.2969,6001.8586,181392
microtubule,2,2,1741.5625,349.0823,1007.2969,2652.2969,3907.5675,118097
microtubule,3,2,1790.8906,264.1837,1150.2969,2340.2969,4012.0257,121254
cytoplasm,1,3,188.7344,40.0311,98.9531,284.9531,622.1164,18802
cytoplasm,2,3,289.2188,60.1588,158.9531,428.9531,834.9039,25233
cytoplasm,3,3,207.5312,66.7654,113.9531,377.9531,661.921,20005
cytoplasm,1,1,135.2344,28.8549,79.9844,216.9844,512.9929,15504
cytoplasm,2,1,173.8906,31.7898,123.9844,256.9844,594.8521,17978
cytoplasm,3,1,139.6406,29.8074,83.9844,193.9844,522.3237,15786
cytoplasm,1,2,459.125,75.2824,297.2969,653.2969,1191.8549,36021
cytoplasm,2,2,685.0781,137.2964,349.2969,1047.2969,1670.3373,50482
cytoplasm,3,2,514.6875,101.3649,287.2969,673.2969,1309.5151,39577
