measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1283.4375,225.6426,738.1562,1672.1562,2933.4964,88658
microtubule,2,3,1040.6719,270.6304,440.1562,1597.1562,2419.4116,73121
microtubule,3,3,1094.25,96.4839,771.1562,1294.1562,2532.8696,76550
microtubule,1,1,1081.5,172.1048,650.0469,1345.0469,2518.8072,76125
microtubule,2,1,793.5625,183.2627,460.0469,1117.0469,1909.0656,57697
microtubule,3,1,1145.6875,93.5008,904.0469,1319.0469,2654.7318,80233
microtubule,1,2,616.0469,119.0687,331.1094,887.1094,1533.023,46332
microtubule,2,2,476.125,159.3697,234.1094,843.1094,1236.7219,37377
microtubule,3,2,625.6406,98.5248,355.1094,890.1094,1553.3389,46946
cytoplasm,1,3,133.5625,45.8471,63.1562,249.1562,498.5005,15066
cytoplasm,2,3,83.3594,19.5181,50.1562,135.1562,392.1895,11853
cytoplasm,3,3,80.9844,24.9142,40.1562,176.1562,387.1601,11701
cytoplasm,1,1,197.25,52.069,96.0469,308.0469,646.3036,19533
cytoplasm,2,1,159.1562,36.2978,101.0469,254.0469,565.6356,17095
cytoplasm,3,1,158.2188,39.1065,101.0469,266.0469,563.6503,17035
cytoplasm,1,2,254.9688,91.4603,109.1094,525.1094,768.3975,23223
cytoplasm,2,2,247.625,91.5968,97.1094,459.1094,752.8463,22753
cytoplasm,3,2,302.1094,126.5896,111.1094,550.1094,868.2233,26240
