file,type,time,measure
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-01.tif,spindle green,0,2076.3061
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-01.tif,cyto green,0,1196.5079
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-01.tif,mito green,0,1132.1004
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-01.tif,cell green,0,1255.897
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-01.tif,spindle red,0,1509.2097
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-01.tif,cyto red,0,981.5561
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-01.tif,mito red,0,930.6915
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-01.tif,cell red,0,965.4679
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-16.tif,spindle green,1,567.5887
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-16.tif,cyto green,1,558.5926
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-16.tif,mito green,1,1055.0144
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-16.tif,cell green,1,684.3323
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-16.tif,spindle red,1,1232.2762
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-16.tif,cyto red,1,845.4872
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-16.tif,mito red,1,835.5054
HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 - HeLa_FKBP-GFP-chTOG_darkmitotrap_LCa_008.nd2 (series 2)-16.tif,cell red,1,787.9492
