file,type,time,measure
N_GTSE1-mCherry_Dark_Mito_004-01.tif,spindle green,0,4924.253
N_GTSE1-mCherry_Dark_Mito_004-01.tif,cyto green,0,3004.8676
N_GTSE1-mCherry_Dark_Mito_004-01.tif,mito green,0,3107.3532
N_GTSE1-mCherry_Dark_Mito_004-01.tif,cell green,0,3093.0796
N_GTSE1-mCherry_Dark_Mito_004-01.tif,spindle red,0,4313.8639
N_GTSE1-mCherry_Dark_Mito_004-01.tif,cyto red,0,2185.4056
N_GTSE1-mCherry_Dark_Mito_004-01.tif,mito red,0,3060.4798
N_GTSE1-mCherry_Dark_Mito_004-01.tif,cell red,0,2952.1052
N_GTSE1-mCherry_Dark_Mito_004-19.tif,spindle green,1,2665.1674
N_GTSE1-mCherry_Dark_Mito_004-19.tif,cyto green,1,2272.7872
N_GTSE1-mCherry_Dark_Mito_004-19.tif,mito green,1,4788.8184
N_GTSE1-mCherry_Dark_Mito_004-19.tif,cell green,1,2860.5121
N_GTSE1-mCherry_Dark_Mito_004-19.tif,spindle red,1,3439.9846
N_GTSE1-mCherry_Dark_Mito_004-19.tif,cyto red,1,1721.5952
N_GTSE1-mCherry_Dark_Mito_004-19.tif,mito red,1,2544.7593
N_GTSE1-mCherry_Dark_Mito_004-19.tif,cell red,1,2384.851
