 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,799.178,237.799,403,1259,1817.381,135061.000
2,2.274,387.710,59.161,262,574,881.678,65523.000
3,2.274,877.379,196.944,527,1299,1995.216,148277.000
4,2.274,976.704,112.364,710,1300,2221.088,165063.000
5,2.274,420.615,53.242,291,549,956.506,71084.000
6,2.274,771.882,74.295,583,1001,1755.309,130448.000
7,2.274,712.231,98.153,499,962,1619.659,120367.000
8,2.274,383.722,35.779,304,495,872.608,64849.000
9,2.274,1100.124,104.964,904,1404,2501.753,185921.000
10,2.274,296.124,39.199,218,394,673.406,50045.000
11,2.274,268.698,31.831,188,368,611.037,45410.000
12,2.274,1261.994,234.824,837,1848,2869.856,213277.000
13,2.274,362.905,38.254,277,495,825.270,61331.000
14,2.274,313.716,35.829,239,400,713.410,53018.000
15,2.274,1129.385,207.836,775,1649,2568.293,190866.000
16,2.274,355.805,40.895,246,475,809.123,60131.000
17,2.274,303.101,32.994,200,386,689.270,51224.000
18,2.274,1126.598,190.649,721,1619,2561.956,190395.000
19,2.274,119.686,16.981,80,167,272.175,20227.000
20,2.274,117.964,18.088,75,172,268.259,19936.000
21,2.274,184.408,32.313,115,292,419.356,31165.000
