 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.274,3096.249,361.440,2344,3884,7041.068,523266.000
2,2.274,1456.811,144.197,1061,1931,3312.881,246201.000
3,2.274,365.154,42.910,281,486,830.383,61711.000
4,2.274,2697.953,537.391,1728,4095,6135.318,455954.000
5,2.274,1442.651,132.097,1141,1748,3280.681,243808.000
6,2.274,377.296,38.896,263,468,857.995,63763.000
7,2.274,3882.846,300.672,2410,4095,8829.842,656201.000
8,2.274,1744.769,225.234,1300,2530,3967.717,294866.000
9,2.274,411.751,42.306,335,531,936.349,69586.000
10,2.274,287.266,65.860,167,549,653.262,48548.000
11,2.274,1019.976,159.307,735,1466,2319.492,172376.000
12,2.274,346.615,62.060,221,521,788.226,58578.000
13,2.274,230.012,39.069,144,356,523.062,38872.000
14,2.274,807.734,133.896,535,1114,1836.838,136507.000
15,2.274,362.970,51.858,247,486,825.418,61342.000
16,2.274,245.527,39.248,140,356,558.343,41494.000
17,2.274,718.296,112.065,489,1010,1633.451,121392.000
18,2.274,311.497,42.687,224,453,708.364,52643.000
19,2.274,111.722,16.462,59,156,254.063,18881.000
20,2.274,112.994,17.443,69,156,256.956,19096.000
21,2.274,133.426,17.844,92,192,303.419,22549.000
