measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,1.3,2691.114,427.0368,2073.763,3729.0982,42.7639,14.9356,0.5448,1.1803,185.2907,89908.5488
microtubule,2,3,1.6506,2868.0454,343.4595,2144.1624,3448.1624,53.3414,37.634,0.8625,1.4073,242.0166,117433.672
microtubule,3,3,1.1231,2803.4441,569.8401,2012.5096,3724.5464,32.4134,33.1397,1.0895,0.2724,166.6042,80841.323
microtubule,1,2,1.3,1974.6184,201.6451,1686.7925,2309.4763,42.7639,14.9356,0.5448,1.1803,143.8447,69797.7474
microtubule,2,2,1.6506,1835.4216,127.3827,1594.3393,2047.9025,53.3414,37.634,0.8625,1.4073,166.7944,80933.6068
microtubule,3,2,1.1231,2677.5613,176.6023,2378.582,3063.0268,32.4134,33.1397,1.0895,0.2724,162.3311,78767.8972
background,1,3,1.3,288.5723,48.2524,229.3039,410.1624,42.4007,15.1626,0.5448,1.1803,36.7502,17832.2983
background,2,3,1.6506,508.0072,137.4157,340.6809,882.5574,53.7045,37.861,0.8625,1.4073,62.0577,30112.2584
background,3,3,1.1231,807.9973,189.8196,511.8744,1197.4024,32.4134,33.4121,1.0895,0.2724,59.6825,28959.7073
background,1,2,1.3,2168.6239,254.1262,1783.4228,2655.3264,42.4007,15.1626,0.5448,1.1803,155.8394,75617.9119
background,2,2,1.6506,1841.6683,139.1766,1603.8879,2178.7768,53.7045,37.861,0.8625,1.4073,167.2707,81164.7365
background,3,2,1.1231,2440.2705,264.7497,1981.5468,2840.0268,32.4134,33.4121,1.0895,0.2724,149.6164,72598.3359
