measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.0482,1094.1012,369.0592,353.2493,1842.5827,48.3931,46.3048,0.681,1.9521,129.7994,62982.5204
microtubule,2,3,1.7678,1142.3204,286.1614,418.2493,1708.4735,25.6946,39.4953,1.4073,1.0895,116.844,56696.1746
microtubule,3,3,2.1824,794.0668,231.714,438.0456,1168.7494,35.5004,46.2594,0.7264,2.0429,107.9661,52388.3886
microtubule,1,2,2.0482,156.8575,26.8266,83.6177,204.1975,48.3931,46.3048,0.681,1.9521,32.2292,15638.5616
microtubule,2,2,1.7678,171.1456,35.4107,82.0319,226.845,25.6946,39.4953,1.4073,1.0895,29.2032,14170.2702
microtubule,3,2,2.1824,160.0865,27.9784,91.574,225.3888,35.5004,46.2594,0.7264,2.0429,34.6572,16816.6852
background,1,3,2.0482,241.9128,119.4054,75.916,548.5766,47.9845,46.8496,0.681,1.9521,49.0115,23781.8525
background,2,3,1.7678,208.3551,82.6861,76.893,380.4715,25.967,39.9039,1.4073,1.0895,39.8524,19337.5654
background,3,3,2.1824,167.7962,71.3927,71.6938,380.5827,35.9997,46.441,0.7264,2.0429,44.7234,21701.1297
background,1,2,2.0482,170.3116,32.73,90.7747,233.5244,47.9845,46.8496,0.681,1.9521,33.5046,16257.4469
background,2,2,1.7678,157.9741,31.308,97.8888,249.1419,25.967,39.9039,1.4073,1.0895,28.1174,13643.4107
background,3,2,2.1824,165.6292,28.0034,106.7777,247.6666,35.9997,46.441,0.7264,2.0429,35.2169,17088.2778
