measurement,line,channel,Length,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
microtubule,1,3,2.4972,1171.0809,222.2066,832.379,1848.0518,14.7086,43.1725,2.4968,0.0454,171.9044,83413.1273
microtubule,2,3,1.2399,2329.4449,751.7517,1166.4086,3604.7034,10.9407,21.1096,1.1349,0.4994,152.7951,74140.7556
microtubule,3,3,1.5856,1235.8632,291.4662,845.4767,1973.9158,13.1651,33.0036,1.5435,0.3632,115.3163,55954.8867
microtubule,1,2,2.4972,52.616,27.4399,0.6193,108.5465,14.7086,43.1725,2.4968,0.0454,27.5971,13390.9454
microtubule,2,2,1.2399,59.463,25.7508,-29.508,100.4522,10.9407,21.1096,1.1349,0.4994,14.1937,6887.1893
microtubule,3,2,1.5856,68.9993,25.1668,-5.8329,106.132,13.1651,33.0036,1.5435,0.3632,18.9565,9198.262
background,1,3,2.4972,408.9686,77.6611,266.0653,598.3108,14.981,43.581,2.4968,0.0454,83.9496,40734.8361
background,2,3,1.2399,526.3846,193.319,264.8698,992.3108,10.6683,21.4273,1.1349,0.4994,48.7502,23655.0662
background,3,3,1.5856,298.8243,53.2427,190.5608,399.9689,13.1197,33.6391,1.5435,0.3632,45.7958,22221.4866
background,1,2,2.4972,48.2196,16.4289,15.2511,85.3829,14.981,43.581,2.4968,0.0454,27.0897,13144.7455
background,2,2,1.2399,55.3738,26.1347,-4.6006,128.6336,10.6683,21.4273,1.1349,0.4994,13.9577,6772.6907
background,3,2,1.5856,59.2696,24.1117,-10.3651,109.5328,13.1197,33.6391,1.5435,0.3632,18.2346,8847.9918
